Id	EventId	Name	StartDate	EndDate	Message	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	Param9	Param10	Param11	Param12	Param13	Param14	Param15	Param16	Param17	Param18	Param19	Param20
1	2	Song ng­u tÒ nguyÖt		200911020000	DailogOption("LÔ Quan","","city")											PlayerFunLib:ShowSubDailog("shuangniuqiyue","Ho¹t ®éng Song ng­u tÒ nguyÖt diÔn ra tõ ngµy <color=yellow>25/09/2009 ®Õn 0h00 02/11/2009<color>. Trong thêi gian ho¹t ®éng, ®¹i hiÖp cã thÓ thu thËp “Cùc phÈm chi nguyªn” tõ viÖc ®¸nh qu¸i, mua “ThÊt truyÒn bİ ph¸p” tõ Kú Tr©n C¸c. §¹i hiÖp cã thÓ dïng c¸c nguyªn liÖu nµy ®èi lÊy “NhËt NguyÖt song hµnh”, vµ “Song ng­u tÒ nguyÖt” ®Ó nhËn ®­îc phÇn th­ëng ®iÓm kinh nghiÖm vµ vËt phÈm phong phó")									
2	2	NhËn cÈm nang sù kiÖn			DailogOption("shuangniuqiyue","X¸c ®Şnh muèn nhËn?","city")	PlayerFunLib:CheckFreeBagCell(1,"default")	PlayerFunLib:CheckLevel(50,"default",">=")	PlayerFunLib:IsCharged("default")	PlayerFunLib:CheckTask(1907,0,"Ng­¬i ®· nhËn phÇn th­ëng nµy råi","==")							PlayerFunLib:GetItem("return {szName=\"½õÄÒÊÂ¼ş\",tbProp={6,1,1833,1,0,0},nExpiredTime=20091102,tbParam={20091102,1000}}",1,"MidAutumn,GetFromLiGuan")	PlayerFunLib:AddTask(1907,1)								
3	2	§æi nhËt nguyÖt song hµnh			ComposeDailogOption("shuangniuqiyue,jinnangshijian1","NhËt nguyÖt song hµnh",1,1,1,"city")	AddMaterialList(10)										PlayerFunLib:GetItem("return {szName=\"ÈÕÔÂË«ĞĞ\",tbProp={6,1,2132,1,0,0},nExpiredTime=20091109,}",1,"MidAutumn,Compose")									
4	2	§æi song ng­u tÒ nguyÖt			ComposeDailogOption("shuangniuqiyue,jinnangshijian1","Song ng­u tÒ nguyÖt",1,1,1,"city")	AddMaterialList(12)										PlayerFunLib:GetItem("return {szName=\"Ë«Å£ÆëÔÂ\",tbProp={6,1,2133,1,0,0},nExpiredTime=20091109,}",1,"MidAutumn,Compose")									
5	2	NhËn nhiÖm vô ®¸nh qu¸i			ComposeDailogOption("shuangniuqiyue,jinnangshijian2","NhËn nhiÖm vô ®¸nh qu¸i",0,1,1,"city")	AddMaterialList(13)	tbKillMonster:IsHaveTask(1)	PlayerFunLib:CheckTaskDaily(2651,134,"H«m nay c¸c h¹ ®· hoµn thµnh 134 lÇn nhiÖm vô råi.","<")								tbKillMonster:AcceptTask()									
6	2	Ta ®Õn nép nhiÖm vô ®¸nh qu¸i			DailogOption("shuangniuqiyue,jinnangshijian2","","city")	tbKillMonster:CheckTaskComplete()	PlayerFunLib:CheckFreeBagCell(10,"default")									tbKillMonster:CompleteTask()	PlayerFunLib:GetItem("return {szName=\"Ë«Å£ÆëÔÂ\",tbProp={6,1,2133,1,0,0},nExpiredTime=20091109,}",10,"jiaorenwu")	PlayerFunLib:AddExp(10000000,0,"jiaorenwu")	PlayerFunLib:AddTaskDaily(2651,1)	Talk("NhËn lÔ vËt th­ëng lÇn nµy.")					
7	2	Ta ®Õn hñy nhiÖm vô			DailogOption("shuangniuqiyue,jinnangshijian2","X¸c nhËn muèn bá nhiÖm vô?","city")	tbKillMonster:IsHaveTask(0)										tbKillMonster:CancelTask()									
8	2	§¸nh qu¸i t¹i b¶n ®å r¬i cùc phÈm chi nguyªn		200911030000	NpcOnDeath()	NpcFunLib:CheckNormalMonster("10,20,30,40,50,60,70,80,90")										NpcFunLib:DropSingleItem("return {szName=\"cùc phÈm chi nguyªn\",tbProp={6,1,2130,1,0,0},nExpiredTime=20091102,}",1,"2.0")									
9	2	Sö dông nhËt nguyÖt song hµnh		200911090000	ItemScript("return {szName=\"ÈÕÔÂË«ĞĞ\",tbProp={6,1,2132,1,0,0},}")	PlayerFunLib:CheckLevel(50,"default",">=")	PlayerFunLib:IsCharged("default")	PlayerFunLib:CheckTask(1922,"(GetTask(1923)+1)*2000","Mçi nh©n vËt chØ thu ®­îc <lua %u*1e6/> kinh nghiÖm th«ng qua sö dông [nhËt nguyÖt song hµnh][song ng­u tÒ nguyÖt]","<")								PlayerFunLib:AddTask(1922,2)	PlayerFunLib:AddExp(2000000,0,"MidAutumn,RiYueShuangXing")								
10	2	Sö dông song ng­u tÒ nguyÖt		200911090000	ItemScript("return {szName=\"Ë«Å£ÆëÔÂ\",tbProp={6,1,2133,1,0,0},}")	PlayerFunLib:CheckLevel(50,"default",">=")	PlayerFunLib:IsCharged("default")	PlayerFunLib:CheckTask(1922,"(GetTask(1923)+1)*2000","Mçi nh©n vËt chØ thu ®­îc <lua %u*1e6/> kinh nghiÖm th«ng qua sö dông [nhËt nguyÖt song hµnh][song ng­u tÒ nguyÖt]","<")	PlayerFunLib:CheckFreeBagCell(10,"default")							PlayerFunLib:GetAward(14,1,"MidAutumn,ShuangNiuQiYue",1922,"floor(%u/1e6)")	PlayerFunLib:GetAward(15,1,"MidAutumn,ShuangNiuQiYue","","")								
