XPOS	YPOS
48864	92992
48672	93152
50048	92832
49888	92992
50176	93024
48992	93248
48800	93376
48928	93568
49216	93184
49600	93344
49376	93408
49152	93440
49536	93664
49312	93696
49152	93824
49472	93856
49312	94048
49568	94144
49728	93184
50016	93216
49856	93440
49696	93568
48064	94752
48192	94560
48352	94720
48576	94912
48224	94976
48448	95136
49120	94912
48768	95136
49184	94240
49440	94272
49344	94432
49216	94624
49472	94688
49344	94880
45408	95648
45568	95808
45728	95968
45888	96160
47072	95552
47200	95712
47328	95840
47456	96032
48032	96192
47616	96224
48608	95360
48608	95712
48448	95840
48384	96128
48192	96192
48608	96192
48768	96064
49216	95264
46048	96352
46208	96256
46304	96448
46272	96672
46464	96832
46656	96768
47008	96864
46816	96928
46688	97056
47584	96512
47264	96704
47456	96960
47232	97088
47552	97216
47872	96288
48032	96576
47808	96704
47616	96832
48448	96352
48256	96448
47392	97408
47232	97568
47712	97280
