XPOS	YPOS
37312	96576
37312	96608
37312	96640
37344	96640
37312	96672
37344	96672
37312	96704
37344	96704
37376	96672
37376	96704
37408	96704
37440	96704
37376	96736
37408	96736
37440	96736
37472	96736
37408	96768
37440	96768
37472	96768
37504	96768
37440	96800
37472	96800
37504	96800
37472	96832
37504	96832
37664	96960
37696	96960
37664	96992
37696	96992
37664	97024
37696	97024
37728	97024
37696	97056
37728	97056
37760	97056
37728	97088
37760	97088
37792	97088
37760	97120
37792	97120
37824	97120
37856	97120
37760	97152
37792	97152
37824	97152
37856	97152
37824	97184
37856	97184
37856	97216
37888	97152
37888	97184
37888	97216
