XPOS	YPOS
46624	93728
46656	93728
46688	93728
46720	93728
46752	93728
46784	93728
46816	93728
46848	93728
46880	93728
46912	93728
46944	93728
46976	93728
47008	93728
46624	93760
46656	93760
46688	93760
46720	93760
46752	93760
46784	93760
46816	93760
46848	93760
46880	93760
46912	93760
46944	93760
46976	93760
47008	93760
46592	93792
46624	93792
46656	93792
46688	93792
46720	93792
46752	93792
46784	93792
46816	93792
46848	93792
46880	93792
46912	93792
46944	93792
46976	93792
47008	93792
47968	93856
48000	93856
48032	93856
47968	93888
48000	93888
48032	93888
48064	93888
48032	93920
48064	93920
48096	93920
48064	93952
48096	93952
48096	93984
48128	93952
48128	93984
48160	93984
48128	94016
48160	94016
48192	94016
48160	94048
48192	94048
48224	94048
48192	94080
48224	94080
48256	94080
48288	94080
48224	94112
48256	94112
48288	94112
48224	94144
48256	94144
48288	94144
45472	94816
45504	94816
45536	94816
45472	94848
45504	94848
45536	94848
45408	94880
45440	94880
45472	94880
45504	94880
45536	94880
45408	94912
45440	94912
45472	94912
45504	94912
45376	94944
45408	94944
45440	94944
45472	94944
45344	94976
45376	94976
45408	94976
45440	94976
45312	95008
45344	95008
45376	95008
45408	95008
45312	95040
45376	95040
45344	95072
