XPOS	YPOS
48000	85984
48000	86016
48032	86016
48032	86048
48064	86048
48064	86080
48096	86080
48096	86112
48128	86112
48128	86144
48160	86144
48160	86176
48192	86176
48192	86208
48320	86336
48352	86336
48352	86368
48384	86368
48384	86400
48416	86400
48416	86432
48448	86432
48448	86464
48480	86464
48480	86496
48512	86496
48512	86528
48544	86528
48512	86560
48544	86560
50144	87488
50112	87520
50144	87520
50080	87552
50112	87552
50080	87584
50240	87392
50272	87392
50208	87424
50240	87424
50176	87456
50208	87456
50176	87488
