TRAPX	TRAPY
59744	110784
59680	110944
59840	111008
59552	110944
59968	111104
63776	109152
63872	109408
63776	109632
64480	107584
64480	108000
64000	109152
64000	109664
64448	116192
64704	107584
64704	107872
64576	107744
64864	111040
64928	111264
64672	115840
64768	116096
64576	116096
64512	115840
65056	111168
65056	111520
65184	111328
65568	111808
65600	112096
65696	112000
65856	112064
65888	112288
66496	120000
66496	120416
66592	109632
66784	109632
66592	109952
66784	109952
66688	109792
66752	111072
66752	111456
66944	111072
66944	111456
66848	111264
66752	120000
66752	120416
66624	120224
67520	113568
67552	113888
67712	113568
67712	113888
67616	113728
68032	118208
68032	118592
68128	115296
68384	115296
68160	115552
68384	115584
68256	115424
68320	118208
68320	118624
68192	118432
