TRAPX	TRAPY
64928	105888
64928	106272
64832	106112
65024	106112
65056	105824
65984	104832
65920	105024
65984	105184
66528	104640
66080	105024
66112	104800
66112	106816
66144	107296
66272	107072
66368	106816
66400	107328
66560	104320
66688	104416
66592	104480
66688	104640
67008	108096
67040	108416
67488	105280
67136	108256
67168	108000
67264	108352
67712	105120
67648	105312
67584	105088
67776	105280
67872	106976
67840	107232
67968	107328
67712	107200
67904	107552
68512	106592
68640	106400
68768	106592
68640	106624
68672	106848
