TRAPX	TRAPY
65472	106144
65376	105984
65440	105760
65280	106176
65248	105856
65920	105152
65536	105952
65952	105472
66144	105440
66048	105280
66208	105248
66112	105056
66496	107456
66368	107328
66400	107648
66880	105088
66784	104928
66944	104896
66848	104704
66688	105120
66656	104800
66656	107424
66560	107232
66592	107616
67296	107456
67456	107424
67360	107232
67168	107328
67392	107616
67200	107648
67872	105280
67680	105376
68032	106272
67904	105664
67808	105504
67968	105472
67712	105696
68064	106592
68160	106400
68320	106368
68224	106176
68256	106560
