TRAPX	TRAPY
70624	110464
70528	110592
70560	110880
70752	110592
70720	110880
71424	109600
71328	109760
71584	109664
71520	109952
71360	109984
72032	108992
71936	109088
72160	109120
71968	109312
72096	109344
71840	111744
71712	111840
71968	111840
71872	112128
71840	111936
73056	110016
72960	110144
73184	110080
73056	110368
72992	112736
73152	112736
73056	112896
72960	113056
73152	113088
73216	110336
73696	112000
73632	112224
73888	112128
73760	112160
73760	112416
74304	111360
74496	111456
74336	111552
74400	111712
74240	111680
