XPOS	YPOS
41920	109472
42528	108992
42592	109152
42720	109248
42944	109248
42528	109376
42784	109376
42944	109472
42656	109536
43072	109120
43200	109216
43072	109344
43552	109408
41728	109600
41888	109984
41792	110080
41856	110272
41600	110304
41728	110432
41504	110464
41600	110560
41920	110560
42432	109568
42304	109664
42112	109696
42464	109728
42336	109824
42176	109888
41984	110208
42400	110240
42816	109600
42720	109696
42624	110016
42784	110208
42592	110432
43488	109568
43392	109696
43488	109760
43296	109824
43360	109920
43232	109952
43136	110112
43264	110144
43200	110240
43392	110240
43328	110336
43456	110496
43584	110368
41408	110592
41440	110880
41504	110720
41824	110720
41952	110816
41728	110880
41856	110976
41664	111040
41760	111136
41952	111200
42048	110688
42240	110816
42336	110816
41984	110976
42208	111008
42336	111008
42176	111136
42336	111136
42432	111168
42912	110656
42816	110752
42976	110784
42752	110816
42880	110848
42816	110944
42784	111136
42720	111296
42560	111328
43072	110656
43200	110784
43104	110848
