XPOS	YPOS
50240	101312
50464	101312
48864	102368
49600	101696
49472	101824
49856	101408
49760	101536
50080	101696
49984	101824
49856	101984
49696	102144
50080	102336
50368	101632
50624	101728
50432	101920
50592	102144
50272	102176
50432	102336
50912	101824
50752	102016
50880	102208
50752	102368
51488	102336
48992	102528
49120	103040
49568	102400
49248	102592
49472	102656
49280	102848
49472	103040
49280	103264
49920	102752
49664	102848
49888	103040
49696	103232
50272	102560
50560	102816
50432	102944
50176	103136
50592	103200
50400	103360
51072	102400
50880	102592
50688	102688
51136	102688
50880	102944
50688	103104
50912	103328
51328	102496
49504	103488
49952	103456
50176	103488
50176	103776
50400	104032
