XPOS	YPOS
37632	117376
37920	117440
36704	118400
37120	117952
37088	118208
37728	117760
38272	118240
38336	118432
38496	118112
38656	118240
38784	118496
38528	118592
38624	118752
35264	118880
35104	119040
35296	119232
35424	119072
36224	119712
37152	119104
37056	119264
37312	119264
37184	119424
37472	119104
38816	119424
38752	119552
38880	119648
38944	119520
36128	119872
36224	120000
36352	119808
36480	119904
36384	120128
37472	120672
37600	120768
37408	120800
38656	120352
38464	120544
38784	120544
38592	120768
39808	120384
39840	120576
39936	120320
39968	120512
40064	120608
41664	120736
41824	120800
36512	121536
36768	121568
36608	121760
37344	120896
37248	121024
37536	120896
37504	121024
37440	121184
38336	121792
39776	121440
39616	121568
39968	121216
40096	121440
39936	121600
40672	121120
40800	121280
40960	121376
41056	121536
41600	120896
41760	120992
41568	121088
41664	121280
42176	121024
42112	121248
43392	121664
44000	121312
43520	121472
43872	121728
44128	121088
44256	121184
44192	121472
36416	121856
36544	122016
37664	122048
37760	122304
37728	122592
38272	122016
38464	121888
38624	122048
38432	122112
38528	122240
40736	122208
40864	122368
40608	122400
40736	122560
40544	122624
42784	122176
42944	122240
42720	122272
42848	122400
43648	121920
43904	122208
44128	122016
45280	122240
45184	122368
45408	122368
45536	122528
45344	122560
45440	122656
37728	122944
37600	123200
38816	123136
38720	123232
38656	123360
38848	123360
38752	123520
38944	123264
39680	122944
39808	123040
39584	123072
39488	123200
39712	123200
39616	123328
40352	123744
40288	123872
41376	123712
41216	123872
41504	123840
42400	122880
42272	123072
42432	123296
42592	123072
43968	122944
43840	123168
43744	123328
43904	123488
44128	123168
44032	123328
45504	123712
45696	123360
45856	123456
45632	123552
45984	123584
45760	123616
45696	123808
45888	123872
40352	124000
40224	124032
40288	124160
40384	124288
40480	123904
40544	124000
40480	124128
40896	124800
41344	124000
41440	124128
41600	124000
42976	124800
43264	124000
43392	124160
44512	124320
44384	124448
44512	124640
44352	124864
44640	124416
39296	125312
39200	125440
39104	125536
38976	125568
39168	125696
39040	125760
40224	125920
40992	124992
41952	125344
41760	125376
41952	125632
42112	125248
42080	125632
42880	124960
42784	125152
42976	125280
43072	125824
43296	125888
44096	125536
44352	125600
44192	125760
44608	125536
45472	125664
45344	125792
45600	125568
45728	125696
45568	125824
38176	126272
38368	126272
38240	126944
38752	126304
38592	126336
38400	126912
38528	126944
39872	125984
39872	126496
40064	125984
40032	126496
40384	126496
40224	126528
42048	125952
43072	126176
43328	126176
43136	126432
43360	126464
43968	126816
44224	126496
44320	126624
44128	126656
44448	126784
44224	126816
44352	126944
45440	125952
46016	126880
46144	126720
46272	126816
46400	126912
37120	126976
37248	127072
37088	127168
37184	127264
38624	126976
38848	127040
44096	127008
44256	127168
45344	127200
45536	127328
45248	127520
45472	127648
45216	127744
45408	127872
45696	127488
45568	127744
46176	127008
46304	127136
37952	128448
38048	128480
37920	128608
38016	128640
37920	128768
38144	128800
38016	128832
37984	128992
44736	128544
44864	128608
44608	128704
44736	128800
44544	128864
44704	128960
45504	128032
46528	128832
46624	128704
46720	128800
46656	128928
46848	128928
37024	129472
37184	129504
36992	129696
37184	129728
36960	129984
37120	130016
37856	129952
38112	129024
37920	129760
38048	129856
45344	129504
45504	129664
45280	129696
45184	129824
45408	129824
45504	129952
45280	129984
45600	129792
46752	129088
37568	130592
37696	130720
37504	130752
37792	130880
37632	130912
37984	130112
38720	130112
38848	130208
38624	130304
38752	130400
38560	130528
38848	130528
38688	130656
38784	130784
38944	130368
45408	130112
45760	130816
45568	130848
45888	130848
46016	130848
45792	131040
45888	131040
46016	131040
46752	130272
46944	130336
46688	130432
46848	130496
46592	130528
46688	130656
37728	131072
39584	131872
39712	131968
39520	132064
39808	132064
44768	132064
45600	131072
39392	132608
39360	132768
39648	132128
39744	132224
39520	132704
39616	132768
39488	132864
39584	132928
40896	132768
40832	132928
40768	133056
41024	132864
40960	133024
43264	132832
43360	132960
43168	132992
43456	133088
44864	132192
44704	132224
44640	132320
44832	132320
44768	132416
40928	133152
40704	133216
40864	133344
41952	133792
41952	133984
42112	133792
42144	133984
42720	133440
42816	133600
43264	133120
43360	133216
41920	134208
42112	134208
