XPOS	YPOS
50208	103200
50240	103200
50208	103232
50240	103232
50272	103232
50240	103264
50272	103264
50304	103264
50272	103296
50304	103296
50336	103296
50304	103328
50336	103328
50368	103328
50336	103360
50368	103360
50400	103360
50368	103392
50400	103392
50432	103392
50400	103424
50432	103424
50464	103424
50432	103456
50464	103456
50496	103456
50464	103488
51360	121088
51360	121120
51392	121120
51392	121152
51424	121152
51424	121184
51456	121184
51456	121216
51488	121216
51744	121504
51744	121536
51776	121536
51776	121568
51808	121568
51808	121600
51840	121600
51840	121632
51872	121632
