XPOS	YPOS
45536	81312
45504	81344
45536	81344
45472	81376
45504	81376
45536	81376
45440	81408
45472	81408
45504	81408
45408	81440
45440	81440
45472	81440
45600	81248
45632	81248
45568	81280
45600	81280
45632	81280
45568	81312
45600	81312
45632	81312
45568	81344
45440	84384
45472	84384
45504	84384
45472	84416
45504	84416
45536	84416
45504	84448
45536	84448
45536	84480
45568	84448
45568	84480
45600	84480
45568	84512
45600	84512
45632	84512
45600	84544
45632	84544
45664	84544
45632	84576
45664	84576
45696	84576
45664	84608
45696	84608
46080	86528
46112	86528
46080	86560
46112	86560
46144	86560
46112	86592
46144	86592
46176	86592
46144	86624
46176	86624
46208	86624
46176	86656
46208	86656
46240	86656
46272	86656
46208	86688
46240	86688
46272	86688
46240	86720
46272	86720
46304	86720
46272	86752
46304	86752
47392	88096
47392	88128
47424	88128
47392	88160
47424	88160
47456	88160
47424	88192
47456	88192
47488	88192
47456	88224
47488	88224
47520	88224
47488	88256
47520	88256
47552	88256
47584	88256
47520	88288
47552	88288
47584	88288
47552	88320
47584	88320
47552	88352
48800	89376
48832	89376
48800	89408
48832	89408
48864	89408
48800	89440
48832	89440
48864	89440
48896	89440
48864	89472
48896	89472
48928	89472
48896	89504
48928	89504
48960	89504
48992	89504
48928	89536
48960	89536
48992	89536
48960	89568
48992	89568
48960	89600
50016	90304
50016	90336
49984	90368
50016	90368
50048	90368
49952	90400
49984	90400
50016	90400
49920	90432
49952	90432
49984	90432
50016	90432
49888	90464
49920	90464
49952	90464
49984	90464
50016	90464
49856	90496
49888	90496
49920	90496
49952	90496
49984	90496
49888	90528
49920	90528
49888	90560
