XPOS	YPOS
52960	127232
53152	126240
53632	126144
53792	125408
54432	125120
54688	124416
55392	124064
55168	123232
55776	122912
56288	123424
56800	123328
57024	122432
57632	122016
57728	121312
58432	120864
58208	119840
58816	119616
58528	118720
59232	118368
58944	117536
59872	116704
60096	115776
60736	115936
61152	115104
61888	114816
62176	113600
63072	113120
62848	112352
62464	111552
63264	110464
64032	109792
65248	110208
64032	113376
64800	113568
65344	112704
66464	112480
65920	111520
65984	110272
65696	109984
65248	109568
65696	109088
66176	109568
