XPOS	YPOS
39680	88992
37856	89472
37856	89664
37728	89920
38016	89472
38176	89472
38016	89664
38176	89664
37888	89920
38048	89920
38240	89920
39392	89280
39264	89408
39392	89568
39520	89152
39808	89152
39648	89280
39520	89440
39776	89440
39648	89568
39520	89728
39936	89280
42848	89568
42656	89760
42496	89952
42816	89952
43008	89760
43520	89952
43808	89952
45504	89984
45952	89664
46976	89280
46816	89472
47072	89696
46592	89728
47232	89568
37728	90176
37824	90464
37568	90592
37568	90912
37888	90176
38048	90176
38240	90176
37984	90464
38144	90464
38368	90464
38208	90944
37888	90976
38560	90464
38496	90944
38784	90944
40256	90656
40384	90784
40064	90848
40192	91008
40672	90272
40864	90528
40512	90944
42656	90112
43520	90240
43808	90240
43520	90560
43808	90560
43520	90880
43840	90912
44256	90272
44256	90560
44224	90912
44960	90304
44640	90336
44640	90624
44960	90656
44832	90944
44640	90976
45248	90176
45248	90528
45504	90624
45056	90944
46272	90144
46624	90112
37888	91456
38240	91456
37888	92064
38336	92064
38528	91456
38784	91456
38688	92064
39040	91456
39104	92064
39840	91456
39648	91680
40320	91136
41376	91904
41504	91712
41696	91904
41888	92064
41568	92128
43296	91232
43520	91232
43776	91232
43584	91552
43808	91552
43680	91872
43904	91872
44416	91264
44192	91296
44320	91648
44256	92096
44736	91232
44928	91232
44736	91456
44928	91488
44960	91808
45152	91264
45120	91488
45184	91808
45056	92128
38176	92480
38368	92864
38592	92512
38688	92864
38976	92480
39296	92512
39136	92896
39488	92896
39904	92960
41440	92288
41728	92288
41632	92480
42112	92832
42336	93056
42784	92256
42912	92416
42624	92480
42816	92704
43488	92352
43072	92576
43872	92384
43552	92672
43904	92704
43616	93056
43968	93056
44256	92480
44256	92768
44224	93024
44576	92192
44576	92512
44864	92672
44704	92864
45248	92448
45056	92672
45504	92800
45344	92992
45824	92928
45664	93088
45984	93120
39232	93312
39328	93696
39584	93344
40096	93440
42368	93344
43968	93312
44224	93280
45472	93280
45824	93280
45696	93440
46304	93728
46496	93920
46112	93984
46688	94144
38080	95104
38432	94784
39712	94656
40032	94688
46208	94240
46400	94432
46784	94720
46976	95072
47168	94912
49536	95040
37824	95328
38240	95264
38016	95488
38208	95712
38400	95424
39104	96032
39552	95616
40096	95872
47520	95264
47328	95488
48448	95808
48128	95840
48160	96192
48480	96192
49696	95456
50112	96032
50176	95520
50496	95616
50496	96096
50848	96096
38336	96512
37920	96576
38656	96992
46560	96896
46368	97120
46784	96640
47040	96960
46816	97184
47424	96480
47168	96512
47488	96960
47872	97152
48384	96608
48896	97088
49184	96736
49280	97024
50528	96544
50368	97024
50656	97024
50880	96544
50944	97024
43392	98240
43872	97696
43648	97952
43808	98144
44512	97920
44032	97952
44864	97920
45504	97792
45216	97920
46016	97632
46112	97280
46400	97632
46528	97856
46176	98016
46592	97440
46944	97792
47168	97376
47488	97376
47168	97792
47488	97792
47200	98272
47872	97824
48512	97632
48384	97984
49568	97824
50016	98016
50336	97536
50304	98048
50784	97504
50720	97920
50944	97920
42976	99008
42784	99296
43200	98432
43392	98656
43584	98464
45536	99008
45504	99264
45568	98656
45952	98816
45920	99264
46528	98304
46176	98400
46464	98688
46912	98464
46880	99008
46688	99232
47520	98304
47200	98656
47520	98688
47200	99008
47520	99008
47872	98336
47840	98688
48352	98432
48416	99040
49504	98528
49344	99168
49920	98400
49792	98944
50048	98976
50272	98432
50176	98752
50656	98912
50368	98944
50336	99296
50688	98400
50912	98432
50912	98912
42464	100256
45472	99552
45312	100032
45920	99712
45696	100064
46304	99328
46304	99744
46080	100064
46688	100288
47264	100128
47616	99488
48384	99520
48896	99360
48736	99616
49024	99648
48896	100000
49792	99392
50048	99392
49856	99776
50016	99936
50656	99904
50496	100288
50944	99456
50912	99904
42368	101280
42176	101312
42528	101024
44832	100736
44672	101312
45504	100352
45088	100384
45344	100704
45856	100352
45888	101312
46208	100896
46240	101216
46848	100672
46592	100992
46944	101056
47360	100928
47680	100640
47648	101120
48544	100896
48192	101152
48544	101280
48832	100704
49120	100736
48928	101120
49408	100480
49536	100512
49280	100960
49760	100352
50016	100416
49728	100928
49728	101344
50528	100672
50176	100768
50176	101216
50528	101216
51008	100352
50752	100448
50944	100768
50912	101216
41312	102016
41792	101632
41568	101888
41728	102048
42272	101600
42144	101856
41984	101920
42560	102304
44992	101600
44672	101632
44800	101952
44800	102304
45280	101600
45152	101952
45536	101952
45152	102304
45504	102336
46016	101504
46528	101664
46080	101920
46464	102176
46112	102336
46880	101792
46880	102272
47424	101568
47520	102048
47712	101728
48064	102144
48192	101664
48544	101696
48480	102112
48896	101568
48896	101984
48896	102368
49280	101472
49280	101856
49280	102240
49696	101760
49696	102144
50176	101536
50528	101632
50176	101920
50560	101984
50176	102304
50912	101664
51008	102112
41152	102400
41536	102400
48512	102464
50848	102432
