XPOS	YPOS
47328	76224
47296	76256
47328	76256
47360	76256
47328	76288
47360	76288
47392	76288
47360	76320
47392	76320
47424	76320
47392	76352
47424	76352
47456	76352
47424	76384
47456	76384
47488	76384
47456	76416
47488	76416
47488	76448
47584	76704
47552	76736
47584	76736
47520	76768
47552	76768
47584	76768
47616	76704
47616	76736
47488	76800
47520	76800
47552	76800
47456	76832
47488	76832
47520	76832
47424	76864
47456	76864
47488	76864
47456	76896
47424	76928
49280	81760
49312	81760
49344	81760
49280	81792
49312	81792
49344	81792
49376	81792
49312	81824
49344	81824
49376	81824
49408	81824
49344	81856
49376	81856
49408	81856
49440	81856
49376	81888
49408	81888
49440	81888
49472	81888
49408	81920
49440	81920
49472	81920
49504	81920
49440	81952
49472	81952
49504	81952
49472	81984
49504	81984
49632	82112
49632	82144
49664	82112
49664	82144
49696	82144
49664	82176
49696	82176
49728	82176
49696	82208
49728	82208
49760	82208
49728	82240
49760	82240
49792	82240
49760	82272
49792	82272
49824	82272
49792	82304
49824	82304
