XPOS	YPOS
62304	102432
62336	102432
62368	102432
62272	102464
62304	102464
62336	102464
62368	102464
62304	102496
62336	102496
62368	102496
62400	102496
62368	102528
62400	102528
62432	102528
62400	102560
62432	102560
62432	102592
62464	102560
62464	102592
62496	102592
62464	102624
62496	102624
62528	102624
62560	102624
62496	102656
62528	102656
62560	102656
62528	102688
62560	102688
63008	104608
63008	104640
63040	104640
63008	104672
63040	104672
63072	104672
63008	104704
63040	104704
63072	104704
63104	104704
63072	104736
63104	104736
63136	104736
63104	104768
63136	104768
63168	104768
63136	104800
63168	104800
63200	104800
63168	104832
63200	104832
63232	104832
63200	104864
63232	104864
63232	104896
65632	106208
65664	106208
65632	106240
65664	106240
65696	106240
65664	106272
65696	106272
65728	106272
65696	106304
65728	106304
65760	106304
65728	106336
65760	106336
65792	106336
65760	106368
65792	106368
65824	106368
65792	106400
65824	106400
65856	106400
65824	106432
65856	106432
65856	106464
65888	106464
