XPOS	YPOS
62912	101888
62720	102080
63200	101536
63072	101696
63456	102048
63328	102208
63584	101856
63840	102080
63680	102304
64064	102272
63872	102496
63520	102528
63680	102720
63968	102944
64160	102720
64384	102912
64256	103104
64096	103296
64864	103008
64672	103264
65152	103360
63936	103648
63712	103872
63776	104384
64480	103552
64288	103776
64000	104128
64288	104352
64960	103616
64768	103840
64512	104064
64864	104352
65472	103776
65120	104096
65760	104032
65536	104288
64096	104640
64288	104832
64544	104640
65248	104608
65088	104864
65952	104896
65792	105152
65920	105376
66176	105152
66432	105312
65696	105568
66240	105536
66048	105728
66432	105728
66272	105920
66624	105536
66816	105728
66624	105952
