XPOS	YPOS
44544	80288
44800	80416
45024	80512
44640	80640
44896	80864
45152	80096
45408	80512
45248	80640
44480	80992
44352	81344
44192	81600
44672	81184
44928	81408
44608	81600
44896	81824
45088	81184
45184	81792
45952	81856
46176	81568
46400	81792
44512	81952
44832	82208
45440	82112
45120	82208
45376	82560
45088	82912
45664	82400
45920	82464
45376	83008
45280	83296
45504	83552
45728	83264
45888	83520
45824	83904
45568	83936
46208	83776
45856	84224
46144	84128
46144	84576
46432	84704
46592	84480
46816	84704
47040	84960
46688	84992
46912	85280
46944	85792
47232	85184
47136	85440
47552	85760
47296	85792
47840	85952
48320	85728
48128	85856
47168	86016
47456	86272
47648	86112
47968	86400
48416	86112
48192	86304
48448	86496
48224	86720
48544	86880
48384	87104
48192	87232
48480	87616
48832	87168
48640	87424
48992	87584
48832	87776
49184	87520
49440	87808
49216	87936
49056	88096
49568	88224
49376	88352
49792	88128
49888	88416
