XPOS	YPOS
38752	79744
39264	79712
39584	79744
39840	79744
38304	79872
38304	80288
38720	80000
38464	80160
38816	80288
38656	80384
38528	80512
39104	79904
39296	80352
39200	80800
39616	80224
39904	80320
39616	80768
40256	80128
40256	80672
40800	80064
40512	80160
40512	80672
40768	80704
41120	80352
41024	80800
39872	80928
40064	81152
39936	81696
40448	81184
40768	81280
40704	81824
41280	81184
41120	81408
41504	80928
41888	81376
41504	81472
42112	81728
42368	81824
42592	81664
40640	82432
41152	81920
41216	82464
41024	82496
41440	82624
41248	82816
41472	82016
41696	82336
41888	82912
42016	82080
42080	82752
42624	82144
42784	82688
41024	82944
41440	83168
41248	83360
41696	83104
42272	83232
42368	83680
42528	82944
42880	83168
42624	83424
42912	83872
43360	83072
43200	83616
43488	83936
43776	83104
43744	83808
44160	83200
44352	83680
44032	83904
44576	83296
44576	83936
42240	84160
42144	84608
42624	84096
43744	84416
43936	84608
44256	84288
44512	84480
44192	84800
44800	84128
44928	84800
44640	84928
45056	84352
42240	85536
42016	85952
44960	85312
44736	85376
44832	85952
45120	85792
45984	85792
46176	85568
46368	85824
41216	86592
41440	86912
41696	86400
41504	86528
41856	86880
42336	86016
41984	86400
42272	86464
42144	86944
42496	86976
44928	86432
44992	87008
45504	86176
45216	86304
45344	86816
45792	86080
45984	86496
45632	86624
46240	86144
46432	86464
46176	86784
46400	86944
46656	86656
46848	86944
41824	87424
42144	87424
42400	87904
42848	87328
42560	87488
42880	87840
42624	88032
43072	87456
43168	87936
44992	88000
45376	87328
45152	87584
45696	87104
45952	87264
46560	87296
46176	87456
46336	87648
46976	87104
46848	87488
46624	87744
47040	87776
47264	87328
47776	87904
42944	88256
42816	88544
43328	88480
43552	88096
43872	88160
44160	88672
44576	88352
44896	88480
44544	88864
44928	88960
46848	88160
47072	88448
47456	88192
47520	88512
47328	88896
47552	88896
47904	88224
47840	88768
48480	88480
48128	88608
48384	88896
48704	88800
48960	89024
44128	89152
44512	89408
44160	89536
44416	89888
44864	89472
44864	89728
44640	89792
45344	89952
48064	89088
47744	89312
48032	89568
48032	90016
48384	89408
48352	89856
48672	89280
49088	89472
48768	89728
49472	89440
45088	90112
45504	90368
45376	90624
45760	90560
46048	90880
45632	91040
46336	90624
48032	90912
48448	90304
48128	90400
48416	91040
48960	90400
48992	91072
49376	90784
45984	91296
45664	91392
46336	91296
46752	91200
46592	91616
46880	91680
47168	91296
47584	91712
47232	91776
47456	92128
47872	91456
47776	92096
48672	91392
48960	91648
49216	91872
49824	91200
50016	91520
49792	92032
47744	92704
48096	93120
49440	92192
49248	92448
49504	92704
49344	92960
48192	93632
48160	94304
48448	95072
49920	94912
50432	94208
50176	94624
50368	95008
48992	95744
49472	95872
50112	95456
49792	95488
50112	95968
49888	96064
50464	95456
50432	96064
50112	96288
50112	96576
50432	96448
50368	96800
