XPOS	YPOS
61920	85792
61888	85824
61920	85824
61856	85856
61888	85856
61920	85856
62176	85536
62144	85568
62176	85568
62112	85600
62144	85600
62176	85600
62080	85632
62112	85632
62144	85632
62048	85664
62080	85664
62112	85664
62016	85696
62048	85696
62080	85696
61984	85728
62016	85728
62048	85728
61952	85760
61984	85760
62016	85760
61952	85792
61984	85792
61952	85824
62144	87168
62176	87168
62176	87200
62208	87200
62208	87232
62240	87232
62240	87264
62272	87264
62272	87296
62304	87296
62304	87328
62528	87520
62528	87552
62560	87552
62560	87584
62592	87584
62592	87616
62624	87616
62624	87648
62656	87648
62656	87680
62688	87680
62688	87712
63968	88000
63936	88032
63968	88032
64160	87808
64192	87808
64128	87840
64160	87840
64096	87872
64128	87872
64064	87904
64096	87904
64032	87936
64064	87936
64000	87968
64032	87968
64000	88000
63904	88064
63936	88064
63872	88096
63904	88096
63872	88128
