mID	ÃèÊö	Worth	Seed	Lucky	Magic1	Magic2	Magic3	Magic4	Magic5	Magic6	ÎåÐÐ
1	V« hÖ 	10000	0	0	0	0	0	0	0	0	9
2	T¨ng Sinh lùc 20	160000	49	5	3	3	3	3	3	3	9
3	T¨ng Sinh lùc 41	400000	156	5	3	3	3	3	3	3	9
4	T¨ng Sinh lùc 81	1200000	1543	5	10	10	10	10	10	10	9
5	T¨ng Sinh lùc 121	3000000	823	10	30	30	30	0	0	0	9
6	T¨ng Néi lùc1	160000	58	5	1	1	1	1	1	1	9
7	T¨ng Néi lùc41	300000	345	5	4	4	4	4	4	4	9
8	T¨ng Néi lùc81	800000	5265	5	6	6	6	6	6	6	9
9	T¨ng Néi lùc121	2000000	1129	10	9	9	9	9	9	9	9
10	T¨ng ThÓ lùc 1	100000	10	4	2	2	2	2	2	2	9
11	T¨ng ThÓ lùc 41	200000	1957	4	5	5	5	5	5	5	9
12	T¨ng ThÓ lùc 81	500000	570	8	9	9	9	9	9	9	9
13	T¨ng ThÓ lùc 121	1000000	512	10	9	9	9	9	9	9	9
14	Mçi nöa gi©y håi phôc 1 ®iÓm thÓ lùc	300000	88	10	9	9	9	9	9	9	9
15	T¨ng Søc m¹nh 1	200000	15	10	9	9	9	9	9	9	0
16	T¨ng Søc m¹nh 11	2000000	81	10	9	9	9	9	9	9	0
17	T¨ng Th©n ph¸p 1	200000	25	5	9	9	9	9	9	0	3
18	T¨ng Th©n ph¸p 11	2000000	31	5	9	9	9	9	9	9	3
19	T¨ng Sinh khÝ 1	200000	289	5	9	9	9	9	9	9	2
20	T¨ng Sinh khÝ 11	2000000	51	10	9	9	9	9	9	9	2
21	T¨ng kh¸ng ®éc 1	200000	2	10	9	9	9	9	9	9	0
22	T¨ng kh¸ng ®éc 6	300000	12	10	9	9	9	9	9	9	0
23	T¨ng kh¸ng ®éc 15	1000000	13	10	9	9	9	9	9	9	0
24	T¨ng kh¸ng hµn 1	200000	2	10	9	9	9	9	9	9	4
25	T¨ng kh¸ng hµn 6	300000	118	5	9	9	9	9	9	9	4
26	T¨ng kh¸ng hµn 15	2000000	16	5	9	9	9	9	9	9	4
27	T¨ng kh¸ng háa 1	200000	2	5	9	9	9	9	9	9	2
28	T¨ng kh¸ng háa 6	300000	118	5	9	9	9	9	9	9	2
29	T¨ng kh¸ng háa 15	2000000	16	5	9	9	9	9	9	9	2
30	T¨ng kh¸ng l«i 1	200000	2	5	9	9	9	9	9	9	1
31	T¨ng kh¸ng l«i 6	300000	118	5	9	9	9	9	9	9	1
32	T¨ng kh¸ng l«i 18	2000000	32	10	9	9	9	9	9	9	1
