szName	nQuality	nItemGenre	nDetailType	nParticularType	nLevel	nSeries	nLuckly	nRate
Phiªn Vò 	0	0	10	7	1	5	0	40
Phi V©n	0	0	10	8	1	5	0	40000
Kim Quang B¾c Kinh Chi Méng	1	0	197	0	0	0	0	100
Kim Quang Nh· §iÓn Chi Hån	1	0	202	0	0	0	0	100
ThÇn bÝ kho¸ng th¹ch	0	6	1	398	1	0	0	50000
HuyÒn tinh kho¸ng th¹ch cÊp 6	0	6	1	147	6	0	0	150000
HuyÒn tinh kho¸ng th¹ch cÊp 7	0	6	1	147	7	0	0	223220
HuyÒn tinh kho¸ng th¹ch cÊp 8	0	6	1	147	8	0	0	20000
NÕn B¸t tr©n phóc nguyÖt	0	6	1	1817	1	0	0	300000
M¶nh Tôc NghiÖp B¹ch Hæ V« Song KhÊu (1/6)	0	4	1146	1	1	0	0	240
M¶nh Tôc NghiÖp B¹ch Hæ V« Song KhÊu (2/6)	0	4	1147	1	1	0	0	240
M¶nh Tôc NghiÖp B¹ch Hæ V« Song KhÊu (3/6)	0	4	1148	1	1	0	0	240
M¶nh Tôc NghiÖp B¹ch Hæ V« Song KhÊu (4/6)	0	4	1149	1	1	0	0	240
M¶nh Tôc NghiÖp B¹ch Hæ V« Song KhÊu (5/6)	0	4	1150	1	1	0	0	240
M¶nh Tôc NghiÖp B¹ch Hæ V« Song KhÊu (6/6)	0	4	1151	1	1	0	0	240
M¶nh Vô Ho¸n Hñ Cèt Hé UyÓn (1/6)	0	4	1194	1	1	0	0	180
M¶nh Vô Ho¸n Hñ Cèt Hé UyÓn (2/6)	0	4	1195	1	1	0	0	180
M¶nh Vô Ho¸n Hñ Cèt Hé UyÓn (3/6)	0	4	1196	1	1	0	0	180
M¶nh Vô Ho¸n Hñ Cèt Hé UyÓn (4/6)	0	4	1197	1	1	0	0	180
M¶nh Vô Ho¸n Hñ Cèt Hé UyÓn (5/6)	0	4	1198	1	1	0	0	180
M¶nh Vô Ho¸n Hñ Cèt Hé UyÓn (6/6)	0	4	1199	1	1	0	0	180
M¶nh §Þch Kh¸i CÈu TÝch B× Hé UyÓn (1/6)	0	4	1091	1	1	0	0	450
M¶nh §Þch Kh¸i CÈu TÝch B× Hé UyÓn (2/6)	0	4	1092	1	1	0	0	450
M¶nh §Þch Kh¸i CÈu TÝch B× Hé UyÓn (3/6)	0	4	1093	1	1	0	0	450
M¶nh §Þch Kh¸i CÈu TÝch B× Hé UyÓn (4/6)	0	4	1094	1	1	0	0	450
M¶nh §Þch Kh¸i CÈu TÝch B× Hé UyÓn (5/6)	0	4	1095	1	1	0	0	450
M¶nh §Þch Kh¸i CÈu TÝch B× Hé UyÓn (6/6)	0	4	1096	1	1	0	0	450
M¶nh Tø Kh«ng Hé Ph¸p Yªu §¸i (1/6)	0	4	1134	1	1	0	0	180
M¶nh Tø Kh«ng Hé Ph¸p Yªu §¸i (2/6)	0	4	1135	1	1	0	0	180
M¶nh Tø Kh«ng Hé Ph¸p Yªu §¸i (3/6)	0	4	1136	1	1	0	0	180
M¶nh Tø Kh«ng Hé Ph¸p Yªu §¸i (4/6)	0	4	1137	1	1	0	0	180
