Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Sa Di Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		50	1	0	30	25	25	31	5	5																36	1	32	30	33	0			38	0		
T¨ng Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		125	2	0	30	50	50	31	7	7																36	7	32	50	33	0			38	0		
PhËt Ên Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai trªn ®ã cã Ên cña PhËt m«n. 		250	3	0	30	75	75	31	9	9																36	13	32	70	33	0			38	0		
T¨ng Giµ Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		400	4	0	30	100	100	31	11	11																36	19	32	90	33	0			38	0		
Kh«n Léc m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-1.spr	28	2	2	Mò ®éi b»ng b«ng th­îng h¹ng. 		600	5	0	30	125	125	31	13	13																36	26	32	110	33	0			38	0		
L©m Liªn M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-2.spr	28	2	2	Lo¹i m·o lµm tõ nh÷ng lo¹i t¬ ®iÒu th­îng h¹ng. 		900	6	0	30	150	150	31	15	15																36	33	32	130	33	0			38	0		
Phï Dung M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	C¸c T¨ng L÷ trung ®¼ng th­êng ®eo, lµm b»ng thø lôa th­îng ®¼ng. 		1250	7	0	30	175	175	31	17	17																36	40	32	150	33	0			38	0		
ThÈm Lu©n M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-1.spr	28	2	2	C¸c T¨ng L÷ trung ®¼ng th­êng ®eo, lµm b»ng thø lôa th­îng ®¼ng. 		1600	8	0	30	200	200	31	19	19																36	46	32	170	33	0			38	0		
NiÖm Ninh M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-2.spr	28	2	2	C¸c T¨ng L÷ th­îng ®¼ng th­êng ®eo. 		2000	9	0	30	225	225	31	21	21																36	53	32	190	33	0			38	0		
Tú L« m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	C¸c T¨ng L÷ th­îng ®¼ng th­êng ®eo, trªn cã Ên PhËt, §­êng T¨ng th­êng ®eo nã 		2500	10	0	30	250	250	31	23	23																36	60	32	210	33	0			38	0		
Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	Lo¹i Tr©m C¸c §¹o sÜ th­êng dïng. 		50	1	0	30	20	20	31	8	8																36	1	32	20	33	0			38	0	37	4
Hoµng D­¬ng Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	Lo¹i tr©m ®­îc tinh chÕ tõ c©y Hoµng D­¬ng. 		100	2	0	30	30	30	31	10	10																36	7	32	30	33	0			38	0	37	4
Cµn Kh«n kÕt	0	7	1	\spr\item\equip\cap\obj-ma-cap04-2.spr	28	2	2	Lo¹i ®ai C¸c §¹o sÜ th­êng ®eo. 		200	3	0	30	45	45	31	12	12																36	13	32	40	33	0			38	0	37	4
Th¸i cùc Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Lo¹i mò C¸c §¹o sÜ th­êng ®eo. 		350	4	0	30	60	60	31	14	14																36	19	32	50	33	0			38	0	37	4
B¸t Qu¸i C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-1.spr	28	2	2	Lo¹i kh¨n §¹o sÜ th­êng quÊn, lµm b»ng lôa th­îng ®¼ng. 		500	5	0	30	75	75	31	16	16																36	26	32	60	33	0			38	0	37	4
Cµn Kh¶m C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	Lo¹i kh¨n §¹o sÜ th­êng quÊn, lµm b»ng lôa th­îng ®¼ng.. 		750	6	0	30	90	90	31	18	18																36	33	32	70	33	0			38	0	37	4
Ngò Nh¹c Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	Lo¹i mò §¹o sÜ th­êng quÊn.. 		1000	7	0	30	105	105	31	20	20																36	40	32	80	33	0			38	0	37	4
Th­îng Thanh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-1.spr	28	2	2	ChØ cã nh÷ng ®¹o sÜ nµo ®· tu luyÖn ®Õn mét tr×nh ®é nhÊt ®Þnh th× míi cã thÓ ®éi. 		1250	8	0	30	120	120	31	22	22																36	46	32	90	33	0			38	0	37	4
Tinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-2.spr	28	2	2	Lo¹i mò cã kh¾c tªn cña vÞ ®¹o sÜ, th­êng thÊy ë vïng Giang Nam. 		1600	9	0	30	135	135	31	24	24																36	53	32	100	33	0			38	0	37	4
Ngò l·o qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Lµ mét trong nh÷ng lo¹i mò th­îng ®¼ng. 		2000	10	0	30	150	150	31	26	26																36	60	32	110	33	0			38	0	37	4
Tróc L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	Lo¹i mò th­êng thÊy ë vïng Giang Nam. 		50	1	0	30	40	40	31	8	8																36	1	32	30	33	20			38	0		
Ng­ L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	lo¹i mò ng­ gia th­êng ®éi. 		150	2	0	30	68	68	31	10	10																36	7	32	50	33	30			38	0		
ThÈm L« Th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-2.spr	28	2	2	Lo¹i mò ®­îc tinh chÕ tõ nh÷ng loµi cá quý hiÕm. 		300	3	0	30	96	96	31	13	13																36	13	32	70	33	40			38	0		
Chu Tao th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Lo¹i mò ®­îc tinh chÕ tõ nh÷ng loµi cá quý hiÕm. o. 		500	4	0	30	124	124	31	15	15																36	19	32	90	33	50			38	0		
HuyÒn Sa DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-1.spr	28	2	2	Lo¹i ¸o s¸t thñ th­êng mÆc. 		800	5	0	30	152	152	31	17	17																36	26	32	110	33	60			38	0		
Thanh S¸t diÖn tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-2.spr	28	2	2	Lo¹i ¸o s¸t thñ cao cÊp th­êng mÆc. 		1200	6	0	30	170	170	31	20	20																36	33	32	130	33	70			38	0		
Nh©n B× DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Nghe nãi sau khi giÕt ng­êi th× lét da lµm ¸o, o¸n khÝ cuån cuén. 		1750	7	0	30	192	192	31	22	22																36	40	32	150	33	80			38	0		
Ngò §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-1.spr	28	2	2	Lo¹i §éc d­îc chÕ tõ n¨m loµi r¾n ®éc. 		2400	8	0	30	220	220	31	25	25																36	46	32	170	33	90			38	0		
B¸ch §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-2.spr	28	2	2	Lo¹i §éc d­îc chÕ tõ 100 lo¹i hoa cã ®éc. 		3200	9	0	30	248	248	31	27	27																36	53	32	190	33	100			38	0		
Tu La Ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Lµ mét dÞ vËt trªn thÕ gian, s¸t khÝ táa ra ngïn ngôt. 		4000	10	0	30	276	276	31	30	30																36	60	32	210	33	110			38	0		
Nho C©n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	Lo¹i kh¨n c¸c tó tµi th­êng quÊn, ®i ®©u còng thÊy. 		60	1	0	30	40	40	31	8	8																36	1	32	30	33	30			38	0		
TiÕn Kiªn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	Lo¹i kh¨n c¸c tó tµi th­êng ®éi. 		160	2	0	30	70	70	31	10	10																36	7	32	45	33	45			38	0		
ViÖt Mü Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-2.spr	28	2	2	Lo¹i kh¨n mò c¸c v¨n nh©n th­êng ®éi. 		375	3	0	30	100	100	31	13	13																36	13	32	60	33	60			38	0		
Phi YÕn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Lo¹i mò rÊt ®Ñp, danh sÜ ­a dïng. 		600	4	0	30	130	130	31	15	15																36	19	32	75	33	75			38	0		
§iªu ThiÒn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-1.spr	28	2	2	Lo¹i mò rÊt ®Ñp, danh sÜ ­a dïng. 		900	5	0	30	160	160	31	17	17																36	26	32	90	33	90			38	0		
Lang Tµ Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-2.spr	28	2	2	Tinh chÕ b»ng thÐp, ®éi vµo tinh lùc t¨ng lªn rÊt nhanh. 		1250	6	0	30	190	190	31	20	20																36	33	32	105	33	105			38	0		
Anh L¹c Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	Lo¹i mò rÊt ®Ñp, ®­îc kh¶m b»ng cá Anh L¹c, c¸c v¨n nh©n Nho sÜ th­êng thÝch ®éi		1850	7	0	30	220	220	31	22	22																36	40	32	120	33	120			38	0		
Tö Kim ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	Dïng nh÷ng lo¹i b¹ch kim vµ b¶o th¹ch quý hiÕm chÕ thµnh, cù kú cao quý. 		2500	8	0	30	250	250	31	25	25																36	46	32	135	33	135			38	0		
ThÊt B¶o ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-2.spr	28	2	2	Lµ lo¹i mò cao quý, th­êng do Hoµng Th­îng ban tÆng. 		3000	9	0	30	280	280	31	27	27																36	53	32	150	33	150			38	0		
Th«ng Thiªn Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Lµ lo¹i mò cao quý, chØ cã Hoµng Th­îng míi ®­îc ®éi		3750	10	0	30	310	310	31	30	30																36	60	32	165	33	165			38	0		
§ång Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh ®ång th­îng ®¼ng. 		185	1	0	30	45	45	31	10	10																36	1	32	35	33	0			38	0		
B¸n DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	Lo¹i kh«i che mét nöa mÆt phÝa tr­íc, cã thÓ chèng tªn. 		305	2	0	30	75	75	31	13	13																36	7	32	60	33	0			38	0		
Song DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	29	2	2	Lo¹i kh«i che kÝn ®Çu, chØ chõa hai lç m¾t ®Ó nh×n. 		560	3	0	30	105	105	31	16	16																36	13	32	85	33	0			38	0		
ThiÕt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh thÐp th­îng ®¼ng. 		900	4	0	30	135	135	31	19	19																36	19	32	110	33	0			38	0		
Tinh §ång §Çu Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-1.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh ®ång th­îng ®¼ng. 		1350	5	0	30	165	165	31	22	22																36	26	32	135	33	0			38	0		
Cang kh«i 	0	7	4	\spr\item\equip\cap\obj-ma-cap14-2.spr	29	2	2	Lo¹i kh«i b»ng thÐp nguyªn chÊt. 		1850	6	0	30	195	195	31	25	25																36	33	32	160	33	0			38	0		
Ng©n Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	Lo¹i kh«i b»ng b¹c nguyªn chÊt. 		2550	7	0	30	225	225	31	28	28																36	40	32	185	33	0			38	0		
Tinh Cang Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-1.spr	29	2	2	Lo¹i kh«i b»ng thÐp nguyªn chÊt.. 		3250	8	0	30	255	255	31	31	31																36	46	32	210	33	0			38	0		
Kim Kh«i 	0	7	4	\spr\item\equip\cap\obj-ma-cap15-2.spr	31	2	2	Lo¹i kh«i gi¸p b»ng vµng, kh¶ n¨ng phßng ngù rÊt cao. 		4050	9	0	30	285	285	31	34	34																36	53	32	235	33	0			38	0		
YÓm NhËt kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Lo¹i kh«i gi¸p b»ng vµng, kh¶ n¨ng phßng ngù rÊt cao. 		5000	10	0	30	315	315	31	37	37																36	60	32	260	33	0			38	0		
Ph¸ Bè C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu, rÊt r¸ch n¸t. 		30	1	0	30	25	25	31	8	8																36	1	32	30	33	20			38	0		
B¸t Ph­¬ng C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu, h×nh nh­ còng kh«ng cã c«ng dông g×. 		80	2	0	30	50	50	31	10	10																36	7	32	45	33	25			38	0		
Tiªu Diªu C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-2.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu. 		185	3	0	30	75	75	31	13	13																36	13	32	60	33	30			38	0		
Lé Thiªn C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-3.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi ¨n mµy th­êng quÊn trªn ®Çu, rÊt th«ng dông		300	4	0	30	100	100	31	15	15																36	19	32	75	33	35			38	0		
B¹ch Thùc Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-1.spr	28	2	2	Vßng ®eo trªn cæ, t­îng tr­ng cho ®¼ng cÊp C¸i Bang. 		450	5	0	30	125	125	31	17	17																36	26	32	90	33	40			38	0		
L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-2.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly. 		600	6	0	30	150	150	31	20	20																36	33	32	105	33	45			38	0		
Song TÇng L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-3.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly, cã hai líp. 		900	7	0	30	175	175	31	22	22																36	40	32	120	33	50			38	0		
TÝn nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-1.spr	28	2	2	Lo¹i vßng ®eo thÓ hiÖn tinh thÇn cña C¸i Bang. 		1250	8	0	30	200	200	31	25	25																36	46	32	135	33	55			38	0		
T×nh nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-2.spr	28	2	2	Lo¹i vßng ®eo thÓ hiÖn tinh thÇn cña C¸i Bang. 		1500	9	0	30	225	225	31	27	27																36	53	32	150	33	60			38	0		
TrÝch Tinh hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly, b¶o vËt cña C¸i Bang. 		1850	10	0	30	250	250	31	30	30																36	60	32	165	33	65			38	0		
Bè C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n th­êng ®éi cña nh÷ng ng­êi b×nh d©n. 		60	1	0	30	20	20	31	8	8																36	1	32	0	33	20			38	0		
B×nh §Ønh C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n th­êng ®éi cña nh÷ng ng­êi b×nh d©n nh­ng ®¼ng cÊp cao h¬n mét chót so víi Bè C©n. 		160	2	0	30	40	40	31	10	10																36	7	32	0	33	25			38	0		
Bè Nhóng C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n cña nh÷ng ng­êi b×nh d©n, t­¬ng ®èi Êm. 		375	3	0	30	60	60	31	13	13																36	13	32	0	33	30			38	0		
Nh¹n Vò C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Nghe nãi dïng l«ng chim nh¹n dÖt thµnh, thùc tÕ chØ lµ lµm tõ nh÷ng l«ng chim b×nh th­êng mµ th«i. 		600	4	0	30	80	80	31	15	15																36	19	32	0	33	35			38	0		
