SuiteNo	ActivateCount1	ActivateCount2
24	4	7
25	4	7
26	4	7
27	4	7
28	4	7
29	4	7
30	4	7
31	4	7
32	4	7
33	4	7
34	4	7
35	4	7
36	4	7
37	4	7
38	4	7
39	4	7
40	4	7
41	4	7
42	4	7
43	4	7
44	4	7
45	4	7
46	4	7
47	4	7
48	4	7
49	4	7
50	4	7
51	4	7
52	4	7
53	4	7
54	4	7
55	4	7
56	4	7
57	4	7
58	4	7
59	4	7
60	4	7
61	4	7
62	4	7
63	4	7
64	4	7
65	4	7
66	4	7
67	4	7
68	4	7
69	4	7
70	4	7
71	4	7
72	4	7
73	4	7
74	4	7
75	4	7
76	4	7
77	4	7
78	4	7
79	4	7
80	4	7
81	4	7
82	4	7
83	4	7
84	4	7
85	4	7
86	4	7
87	4	7
88	4	7
89	4	7
90	4	7
91	4	7
92	4	7
93	4	7
94	4	7
95	4	7
96	4	7
97	4	7
98	4	7
99	4	7
100	4	7
101	4	7
102	4	7
103	4	7
104	4	7
105	4	7
106	4	7
107	4	7
108	4	7
109	4	7
110	4	7
111	4	7
112	4	7
113	4	7
114	4	7
115	4	7
116	4	7
117	4	7
118	4	7
119	4	7
120	4	7
121	4	7
122	4	7
123	4	7
124	4	7
125	4	7
126	4	7
127	4	7
128	4	7
129	4	7
130	4	7
131	4	7
132	4	7
133	4	7
134	4	7
135	4	7
136	4	7
137	4	7
138	4	7
139	4	7
140	4	7
141	4	7
142	4	7
143	4	7
144	4	7
145	4	7
146	4	7
147	4	7
148	4	7
149	4	7
150	4	7
151	4	7
152	4	7
153	4	7
154	4	7
155	4	7
156	4	7
157	4	7
158	4	7
159	4	7
160	4	7
161	4	7
162	4	7
163	4	7
164	4	7
165	4	7
166	4	7
167	4	7
168	4	7
169	4	7
170	4	7
171	4	7
172	4	7
173	4	7
174	4	7
175	4	7
176	4	7
177	4	7
178	4	7
179	4	7
180	4	7
181	4	7
182	4	7
183	4	7
184	4	7
185	4	7
186	4	7
187	4	7
188	4	7
189	4	7
190	4	7
191	4	7
192	4	7
193	4	7
194	4	7
195	4	7
196	4	7
197	4	7
198	4	7
199	4	7
200	4	7
201	4	7
202	4	7
203	4	7
204	4	7
205	4	7
206	4	7
207	4	7
208	4	7
209	4	7
210	4	7
211	4	7
212	4	7
213	4	7
214	4	7
215	4	7
216	4	7
217	4	7
218	4	7
219	4	7
220	4	7
221	4	7
222	4	7
223	4	7
224	4	7
225	4	7
226	4	7
227	4	7
228	4	7
229	4	7
230	4	7
231	4	7
232	4	7
233	4	7
234	4	7
235	4	7
236	4	7
237	4	7
238	4	7
239	4	7
240	4	7
241	4	7
242	4	7
243	4	7
244	4	7
245	4	7
246	4	7
247	4	7
248	4	7
249	4	7
250	4	7
251	4	7
252	4	7
253	4	7
320	2	2
321	2	2
322	2	2
323	2	2
324	2	2
325	2	2
326	2	2
327	2	2
328	2	2
329	2	2
330	1	1
331	2	2
332	2	2
333	2	2
334	2	2
335	2	2
336	2	2
337	2	2
338	2	2
339	2	2
340	2	2
341	1	1
342	1	1
343	1	1
344	1	1
345	1	1
346	1	1
347	1	1
348	1	1
349	1	1
350	1	1
362	4	7
363	4	7
364	4	7
365	4	7
366	4	7
367	4	7
368	4	7
369	4	7
370	4	7
371	4	7
372	4	7
373	4	7
374	4	7
375	4	7
376	4	7
377	4	7
378	4	7
379	4	7
380	4	7
381	4	7
384	3	5
386	4	4
387	4	4
388	4	4
389	4	4
390	4	4
391	4	7
392	4	7
393	4	7
394	4	7
395	4	7
396	4	7
397	4	7
398	4	7
399	4	7
400	4	7
401	4	7
402	4	7
403	4	7
404	4	7
405	4	7
406	4	7
407	4	7
408	4	7
409	4	7
410	4	7
411	4	7
412	4	7
413	4	7
414	4	7
415	4	7
428	4	7
429	4	7
430	4	7
431	4	7
432	4	7
433	4	7
434	4	7
435	4	7
436	4	7
437	4	7
438	4	7
439	4	7
440	4	7
441	4	7
442	4	7
443	4	7
444	4	7
445	4	7
446	4	7
447	4	7
448	4	7
449	4	7
450	4	7
451	4	7
452	4	7
453	3	5
454	4	7
455	4	7
456	4	7
457	4	7
458	4	7
459	4	7
460	4	7
461	4	7
462	4	7
463	4	7
464	4	7
465	4	7
466	4	7
467	4	7
468	4	7
469	4	7
470	4	7
471	4	7
472	4	7
473	4	7
474	4	7
475	4	7
476	4	7
477	4	7
478	4	7
479	4	7
480	4	7
481	4	7
482	4	7
483	4	7
484	4	7
485	4	7
486	4	7
487	4	7
488	4	7
489	4	7
490	4	7
491	4	7
492	4	7
493	4	7
494	4	7
495	4	7
496	4	7
497	4	7
498	4	7
499	4	7
500	4	7
501	4	7
502	4	7
503	4	7
504	4	7
505	4	7
506	4	7
507	4	7
508	4	7
509	4	7
510	4	7
511	4	7
512	4	7
513	4	7
514	4	7
515	4	7
516	4	7
517	4	7
518	4	7
519	4	7
520	4	7
521	4	7
522	4	7
523	4	7
524	4	7
525	4	7
526	4	7
527	4	7
528	4	7
576	4	7
577	4	7
578	4	7
579	4	7
580	4	7
581	4	7
582	4	7
583	4	7
584	4	7
585	4	7
586	4	7
587	4	7
588	4	7
589	4	7
590	4	7
591	4	7
592	4	7
593	4	7
594	4	7
595	4	7
596	4	7
597	4	7
598	4	7
599	4	7
600	4	7
601	4	7
602	4	7
603	4	7
604	4	7
605	4	7
606	4	7
607	4	7
608	4	7
609	4	7
610	4	7
611	4	7
612	4	7
613	4	7
614	4	7
615	4	7
616	4	7
617	4	7
618	4	7
619	4	7
620	3	5
621	4	7
622	4	7
