Name	Type	Genre	Detail	Particular	Serise	Level	Param1	Param2	Param3	Param4	Param5	Param6	Proba	Costly	Msg	Log
Lam Thñy Tinh	1	4	238	1	0	1	0						50000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Tö Thñy Tinh	1	4	239	1	0	1	0						50000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Lôc Thñy Tinh	1	4	240	1	0	1	0						50000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Tinh Hång B¶o Th¹ch	1	4	353	49	0	1	0						50000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
TÈy Tñy Kinh	1	6	1	22	0	1	0						10000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Vâ L©m MËt TÞch	1	6	1	26	0	1	0						10000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Tiªn Th¶o Lé 	1	6	1	71	0	1	0						150000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Phóc Duyªn Lé (§¹i) 	1	6	1	124	0	1	0						207050	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
HuyÒn Tinh cÊp 4	1	6	1	147	0	4	0						160000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
HuyÒn Tinh cÊp 5	1	6	1	147	0	5	0						40000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
HuyÒn Tinh cÊp 6	1	6	1	147	0	6	0						15000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Tiªn Th¶o Lé ®Æc biÖt (8 giê)	1	6	1	1181	0	1	0						50000	0	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Méng Long Kim Ti ChÝnh Hång Cµ Sa	2	2	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Phôc Ma Tö Kim C«n	2	6	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Tø Kh«ng Gi¸ng Ma Giíi ®ao	2	11	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	2	16	0	0	0	1	0						6	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
H¸m Thiªn Thõa Long ChiÕn Ngoa	2	20	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	2	21	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Ngù Long L­îng Ng©n B¶o ®ao	2	26	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
Ngù Long Thiªn M«n Thóc Yªu hoµn	2	28	0	0	0	1	0						60	1	<player>Më thµnh thÞ ®¹i hång bao, nhËn ®­îc 1 <name>	1
