XPOS	YPOS
1542	3222
1548	3216
1554	3210
1559	3205
1565	3198
1548	3229
1554	3223
1560	3217
1565	3212
1571	3206
1553	3235
1559	3230
1570	3219
1576	3214
1558	3241
1564	3236
1570	3230
1575	3225
1580	3221
1563	3249
1569	3244
1575	3239
1580	3234
1585	3228
1565	3224
1537	3227
1543	3234
1548	3240
1553	3247
1559	3255
1570	3255
1571	3263
1576	3257
1576	3269
1581	3265
1597	3223
1599	3232
1604	3227
1605	3239
1609	3235
1534	3222
1540	3217
1546	3211
1551	3206
1556	3201
1562	3195
1567	3190
1571	3194
1576	3201
1581	3209
1585	3216
1590	3223
1573	3249
1578	3244
1583	3239
1588	3234
