nPosX	nPosY	map_ID
1502	3262	1
1506	3268	1
1510	3277	1
1505	3282	1
1502	3274	1
1495	3280	1
1500	3287	1
1503	3290	1
1497	3302	1
1506	3303	1
1501	3313	1
1498	3325	1
1504	3323	1
1509	3328	1
1516	3331	1
1521	3327	1
1528	3334	1
1534	3323	1
1528	3318	1
1531	3309	1
1538	3310	1
1541	3302	1
1544	3307	1
1543	3318	1
1484	3287	1
1488	3277	1
1486	3267	1
1476	3277	1
1483	3261	1
1476	3258	1
1473	3245	1
1464	3248	1
1470	3234	1
1460	3235	1
1463	3225	1
1456	3225	1
1457	3215	1
1450	3216	1
1445	3256	1
1455	3257	1
1457	3268	1
1457	3268	1
1474	3283	1
1454	3285	1
1441	3300	1
1435	3283	1
1429	3278	1
1492	3287	1
1501	3331	1
1446	3291	1
1518	3068	1
1513	3073	1
1505	3073	1
1508	3063	1
1503	3054	1
1502	3041	1
1504	3028	1
1502	3020	1
1496	3017	1
1504	3010	1
1510	2999	1
1502	2990	1
1492	2983	1
1487	2988	1
1476	2996	1
1497	2987	1
1469	2992	1
1464	2987	1
1456	2978	1
1458	2966	1
1449	2985	1
1444	2992	1
1441	3001	1
1442	3012	1
1447	3023	1
1438	3024	1
1444	3030	1
1455	3026	1
1462	3022	1
1464	3032	1
1460	3035	1
1472	3030	1
1480	3021	1
1487	3022	1
1497	3075	1
1489	3064	1
1491	3079	1
1487	3093	1
1480	3063	1
1473	3061	1
1466	3065	1
1464	3056	1
1461	3042	1
1459	3069	1
1451	3071	1
1445	3077	1
1442	3065	1
1437	3055	1
1430	3047	1
1432	3033	1
