TRAPX	TRAPY
1656	3156
1649	3164
1655	3172
1662	3165
1634	3178
1644	3169
1642	3186
1650	3177
1620	3085
1611	3095
1604	3088
1612	3078
1605	3276
1598	3276
1594	3273
1602	3264
1643	3285
1636	3278
1651	3278
1643	3249
1574	3117
1582	3109
1581	3125
1589	3117
1516	3117
1523	3170
1518	3182
1526	3174
1526	3167
1532	3161
1529	3171
1535	3164
1553	3122
1545	3220
1560	3220
1551	3288
1562	3228
1579	3268
1570	3258
1566	3262
1574	3270
1589	3277
1581	3270
1578	3274
1586	3282
1620	3247
1611	3238
1604	3246
1612	3254
