map_ID	nPosX	nPosY
176	1345	3395
176	1340	3389
176	1336	3385
176	1339	3398
176	1333	3395
176	1328	3382
176	1324	3372
176	1319	3386
176	1315	3375
176	1318	3365
176	1310	3363
176	1305	3371
176	1300	3376
176	1295	3365
176	1290	3373
176	1287	3362
176	1281	3376
176	1278	3365
176	1281	3357
176	1272	3357
176	1270	3369
176	1267	3377
176	1261	3383
176	1260	3371
176	1265	3358
176	1262	3352
176	1259	3342
176	1250	3342
176	1250	3356
176	1255	3364
176	1245	3368
176	1239	3359
176	1242	3349
176	1233	3338
176	1226	3331
176	1226	3350
176	1214	3354
176	1212	3347
176	1231	3362
176	1233	3348
176	1254	3394
176	1247	3402
176	1253	3409
176	1257	3418
176	1265	3425
176	1274	3425
176	1283	3419
176	1281	3437
176	1287	3443
176	1257	3386
