map_ID	nPosX	nPosY
37	1574	3231
37	1581	3237
37	1589	3246
37	1599	3246
37	1590	3257
37	1583	3253
37	1579	3246
37	1572	3236
37	1566	3232
37	1560	3248
37	1568	3260
37	1575	3268
37	1582	3277
37	1593	3275
37	1587	3288
37	1580	3290
37	1570	3285
37	1564	3264
37	1553	3263
37	1551	3251
37	1550	3241
37	1541	3251
37	1541	3259
37	1534	3271
37	1532	3261
37	1580	3294
37	1589	3302
37	1580	3309
37	1590	3313
37	1583	3320
37	1575	3328
37	1582	3336
37	1590	3338
37	1565	3316
37	1559	3301
37	1561	3292
37	1531	3301
37	1525	3298
37	1519	3292
37	1565	3240
37	1571	3246
37	1575	3254
37	1585	3264
37	1525	3266
37	1528	3278
37	1532	3289
37	1531	3314
37	1575	3342
37	1587	3349
37	1509	3289
