TRAPX	TRAPY
51072	102272
51136	102624
51008	102848
51072	103232
51008	103616
50848	103424
51008	103968
50816	103776
51264	102144
51616	101728
51520	102176
51520	102176
51488	101632
51296	101824
51456	101952
51648	101984
51488	103328
51616	103072
51328	102784
51296	103168
51328	102432
51488	102944
51200	103008
51520	102432
51552	102720
51680	103392
51232	103456
51488	104128
51424	103552
51552	103808
51200	103744
51360	103936
51904	101536
51840	101920
51744	102176
52000	102272
52096	101952
51744	102784
51840	103264
51968	102560
51712	102496
51968	102880
52128	103168
52160	102752
51712	104000
51744	103680
51968	103520
52256	102400
52352	102912
52352	103232
