TRAPX	TRAPY
56800	101920
56800	101888
56768	101856
56768	101888
56736	101856
56736	101824
56704	101824
56704	101792
56672	101760
56672	101792
56672	101728
56640	101728
56640	101696
56640	101664
56672	101632
56640	101632
56608	101664
56608	101696
56672	101600
56704	101600
56704	101568
56736	101568
56736	101536
56768	101536
56768	101504
56800	101504
56800	101472
57312	101344
57312	101312
56928	101344
56960	101344
56960	101312
56992	101312
56992	101280
57024	101280
57024	101248
57056	101248
57056	101216
57088	101216
57088	101184
57120	101184
57120	101216
57152	101184
57152	101216
57280	101312
57280	101280
57248	101280
57248	101248
57216	101248
57216	101216
57184	101216
57184	101184
57312	102016
57312	102048
57280	102048
57280	102080
57248	102080
57248	102112
57216	102112
57216	102144
57184	102144
57184	102176
57184	102144
57152	102176
57152	102208
57120	102208
57120	102176
57088	102176
57088	102144
57056	102144
57056	102176
57024	102112
57024	102144
56992	102080
56992	102112
56960	102080
56960	102048
56928	102048
56928	102016
56928	102016
56896	101984
56896	102016
56864	101984
56864	101952
56832	101952
56832	101920
56832	101472
56832	101440
56864	101440
56864	101408
56896	101408
56896	101376
56928	101376
57344	101344
57344	101376
57376	101376
57376	101408
57408	101408
57408	101440
57440	101440
57440	101472
57472	101472
57472	101504
57504	101504
57504	101536
57536	101536
57536	101568
57568	101568
57568	101600
57600	101600
57600	101632
57600	101664
57600	101696
57568	101728
57600	101728
57632	101632
57632	101664
57632	101696
57568	101760
57536	101792
57568	101792
57536	101824
57504	101824
57472	101856
57504	101856
57472	101888
57440	101888
57440	101920
57408	101920
57408	101952
57376	101952
57376	101984
57344	101984
57344	102016
