TRAPX	TRAPY
48800	114304
48800	114336
48960	114656
48960	114624
48928	114656
48928	114624
48928	114592
48928	114528
48928	114560
48896	114592
48896	114560
48896	114528
48896	114496
48896	114464
48896	114432
48864	114496
48864	114464
48864	114432
48832	114400
48800	114400
48800	114368
48832	114368
48832	114336
48832	114304
48832	114272
48800	114272
48992	115008
48992	114944
48992	114976
48992	114912
48992	114848
48992	114816
48992	114912
48960	114944
48992	114880
48960	114880
48960	114912
48960	114848
48960	114784
48960	114752
48960	114720
48960	114688
48928	114784
48928	114752
48928	114720
48928	114688
48960	114816
