TRAPX	TRAPY
57280	87648
57312	87616
57312	87648
57344	87616
57344	87648
57376	87616
57376	87648
57376	87680
57408	87648
57408	87680
57408	87712
57440	87680
57440	87712
57440	87744
57472	87712
57472	87744
57472	87776
57504	87744
57504	87776
57504	87808
57536	87776
57536	87808
57536	87840
57568	87808
57568	87840
57568	87872
57600	87840
57600	87872
57600	87904
57632	87872
57632	87904
57632	87936
57664	87904
57664	87936
57664	87968
57696	87936
57696	87968
57696	88000
57728	87968
57728	88000
57728	88032
57760	88000
57760	88032
57760	88064
57792	88032
57792	88064
57792	88096
57824	88064
57824	88096
57824	88128
57856	88096
57856	88128
57856	88160
57888	88128
57888	88160
57888	88192
57920	88160
57920	88192
57920	88224
57952	88192
57952	88224
57952	88256
57984	88224
57984	88256
57984	88288
58016	88256
58016	88288
58016	88320
58048	88288
58048	88320
58048	88352
58080	88320
58080	88352
58080	88384
58112	88352
58112	88384
