Xpos	Ypos
55264	108064
55104	108256
55264	108256
55424	108256
55584	108256
54944	108544
55168	108544
55136	108896
55264	109248
55104	109536
55360	108544
55584	108544
55616	108864
55360	108992
55520	109248
55712	109248
55296	109536
55552	109536
55808	108544
54144	110080
54144	110272
54272	109856
54432	109856
54592	109856
54272	110080
54432	110080
54592	110080
54272	110304
54432	110336
54592	110336
54880	109856
55136	109856
54880	110112
55136	110112
54880	110368
55136	110368
55392	109856
55584	109856
55712	109856
55392	110112
55648	110112
55392	110368
55648	110368
55936	109824
55872	110112
56288	110112
56096	110144
55872	110400
56128	110432
56288	110432
56544	109952
56544	110272
56768	110368
54432	110720
54656	110720
55136	110688
54880	110720
55072	111072
55040	111392
55264	111392
55296	111104
55552	111104
55488	111392
55712	111424
55904	110752
56096	110752
56288	111072
55808	111104
56064	111104
55968	111424
56192	111424
56736	110656
56544	110688
56320	110752
56448	111072
56672	111104
56416	111392
56576	111392
56896	110624
56832	110912
55072	111776
55104	112128
54880	112480
55104	112480
55360	111776
55584	111776
55392	112160
55680	112160
55392	112544
55712	112576
55808	111776
56032	111776
56000	112256
56000	112608
55008	112832
55232	113024
55744	112928
55488	112992
55968	112896
