Xpos	Ypos
59264	101248
59456	100416
59424	100864
59648	100896
59552	101248
59872	101248
59296	101600
59200	102016
59584	101600
59488	102016
59808	102048
59904	101568
60224	101568
60160	102048
59168	102432
58912	102944
59264	102976
59520	102432
59840	102432
59584	102976
60192	102464
59968	102976
60352	102976
58656	103520
58688	104000
58976	103456
59296	103488
59040	104032
59360	104064
59648	103456
59744	104032
60000	103456
60320	103488
60192	104032
58784	104736
58592	105088
59104	104704
59040	105152
59776	104640
59392	104704
59488	105152
60192	104608
59936	105184
60320	105184
58752	105792
59104	105824
59520	105760
59968	105760
60320	105792
58784	106560
59136	106560
59296	107328
58912	107360
59616	106592
59616	107424
60096	106624
59968	107424
60288	107424
58656	107968
58976	107968
59296	108000
59680	107968
59872	108448
59392	108512
60064	108000
60256	108384
59072	108544
59104	108960
59456	109024
59872	109504
59904	109088
60288	109120
60192	109472
