Xpos	Ypos
51808	100512
52064	100832
51712	100928
51808	101312
52512	100416
52320	100736
52672	100768
52448	101120
53120	100416
52960	100800
53120	101120
53632	100672
53312	100800
53824	100352
54016	100704
53824	100960
54560	100768
54336	100960
54560	101344
50592	102368
50752	102080
51072	102304
51520	101888
51200	101952
51360	102368
51744	101600
52000	101888
51808	102208
52224	101440
52704	101632
52480	101728
52224	102240
53056	101632
52864	101984
53216	102016
53024	102336
53632	101696
53568	102336
53824	101376
54080	101696
53824	102016
54656	101728
54336	102080
54688	102112
50368	102656
50624	103040
50816	102656
51040	103168
51200	102720
51520	102720
51360	103104
52000	102528
52000	103072
52416	102624
52512	102976
52736	102560
52992	103008
52736	103328
53408	102688
53728	102688
53568	102976
54144	102432
53984	102784
54176	103072
54368	102784
