Xpos	Ypos
50304	111552
50656	111584
51200	110976
51680	111104
53440	110912
53248	111552
50304	112000
50656	112032
50304	112512
50656	112512
51168	111616
51168	112064
51168	112544
51584	111680
51584	112096
51552	112544
52096	111744
52064	112160
52064	112576
52544	111776
52544	112224
52544	112608
53120	112256
53600	111616
53504	112320
50304	112960
50304	113408
50688	112992
51168	112992
50688	113376
51136	113504
51584	112992
51584	113632
52096	113056
52544	113088
53120	112704
53088	113216
53568	112736
53568	113216
54016	112800
54048	113216
50304	113984
50304	114496
50656	114528
50688	114016
51136	114080
51136	114560
51552	114080
51552	114592
52096	113664
52096	114144
52096	114560
52672	113728
52576	114176
52576	114624
53056	113760
53088	114176
53088	114656
53536	113760
53504	114176
54048	113760
54080	114176
54048	114624
54624	113664
54528	114208
50304	115040
50688	115072
51136	115104
51552	115104
52672	115136
53088	115136
53472	114720
53472	115136
54048	115040
53856	115520
