POSX	POSY
49760	84320
49760	84544
49792	85088
49792	85344
49792	85600
49824	86720
49856	84160
49856	84320
49856	84512
49856	86176
49856	86336
49856	86528
49920	85088
49920	85344
49920	85600
49984	84160
49984	84320
49984	84512
49984	86176
49984	86336
49984	86752
50016	86560
50080	84160
50080	84320
50080	84512
50080	85088
50080	85344
50080	85600
50080	86368
50112	86176
50112	86560
50112	86784
50176	84288
50432	84128
50432	84288
50432	84512
50432	86624
50464	85120
50464	85344
50464	85568
50464	86144
50464	86368
50496	84960
50528	84128
50528	84288
50528	84448
50528	86624
50560	85088
50560	85280
50560	85632
50560	86144
50560	86368
50592	84128
50592	85472
50624	84288
50624	84480
50624	85152
50624	86144
50624	86368
50624	86656
50880	84576
50912	84224
50912	84352
50912	84448
50912	85056
50912	85312
50912	85536
50912	86112
50912	86336
50912	86496
50912	86656
50976	84448
50976	84576
51008	84224
51008	84352
51008	85056
51008	86112
51008	86336
51008	86496
51008	86656
51040	84448
51040	85312
51040	85504
51072	84224
51072	84352
51072	86528
51072	86656
51104	84576
51104	85056
51104	85312
51104	86144
51104	86368
51136	85504
