TRAPX	TRAPY
49632	102752
49664	102752
49696	102752
49728	102752
49760	102752
49792	102752
49824	102752
49856	102752
49888	102752
49920	102752
49952	102752
49984	102752
50016	102752
50048	102752
50112	102752
50080	102752
50144	102752
50144	102720
50112	102720
50080	102720
50048	102720
50016	102720
49984	102720
49952	102720
49920	102720
49888	102720
49856	102720
49824	102720
49792	102720
49760	102720
49728	102720
49696	102720
49664	102720
50656	101344
50656	102368
50656	102336
50656	102304
50656	102272
50656	102240
50656	102208
50656	102176
50656	102144
50656	102112
50656	102080
50656	102048
50656	102016
50656	101952
50656	101920
50656	101984
50656	101888
50656	101856
50656	101824
50656	101792
50656	101760
50656	101696
50656	101696
50656	101664
50656	101728
50656	101632
50656	101600
50656	101568
50656	101536
50656	101504
50656	101472
50656	101440
50656	101408
50656	101376
50176	102752
50208	102752
50240	102752
50272	102720
50272	102752
50304	102752
50336	102752
50368	102720
50368	102752
50400	102752
50432	102752
50464	102752
50496	102752
50528	102752
50560	102752
50592	102752
50624	102752
50656	102752
50656	102720
50656	102688
50656	102656
50656	102624
50656	102592
50656	102560
50656	102528
50656	102464
50656	102496
50656	102432
50656	102400
50240	102720
50208	102720
50176	102720
50304	102720
50336	102720
50624	102368
50624	102336
50624	102304
50624	102272
50624	102208
50624	102240
50624	102144
50624	102176
50624	102112
50624	102080
50624	102048
50624	102016
50624	101952
50624	101984
50624	101920
50624	101408
50624	101440
50624	101472
50624	101504
50624	101536
50624	101568
50624	101600
50624	101632
50624	101664
50624	101696
50624	101728
50624	101760
50624	101792
50624	101856
50624	101824
50624	101888
50624	101376
50400	102720
50432	102720
50464	102720
50496	102720
50528	102720
50560	102720
50592	102720
50624	102720
50624	102688
50624	102656
50624	102592
50624	102624
50624	102560
50624	102528
50624	102496
50624	102464
50624	102432
50624	102400
