TRAPX	TRAPY
59872	116704
59872	117024
59872	116960
59872	116992
59872	116928
59872	116896
59872	116864
59872	116832
59872	116800
59872	116768
59872	116736
59872	117056
59904	116704
59904	116768
59904	116800
59904	116736
59904	116832
59904	116864
59904	116896
59904	116928
59904	116960
59904	116992
59904	117024
59904	117056
59904	117088
59904	117120
59904	117152
59904	117184
59904	117216
59936	117216
59936	117248
59936	117312
59936	117280
59936	117184
59936	117152
59936	117120
59936	117088
59936	117056
59936	117024
59936	116992
59936	116960
59936	116928
