TRAPX	TRAPY
56768	110240
56800	110752
56800	110688
56736	110656
56800	110592
57280	110464
57216	110560
57120	110560
57152	110400
57248	110336
57088	110464
56992	110560
56928	110496
56992	110400
57056	110336
57152	110272
56864	110528
56864	110432
56928	110400
56832	110368
56864	110272
56960	110336
57088	110976
57152	110912
57248	110848
57184	110784
57248	110688
57312	110592
57152	110688
57056	110848
57056	110752
56992	110816
57056	110624
56960	110752
56928	110656
57248	110944
57184	111008
57280	111040
57216	111104
57152	111104
57056	111072
56992	110976
57120	110848
56960	110912
56896	110848
56864	110752
56864	110656
56896	110592
57376	110496
57344	110976
