TRAPX	TRAPY
60704	114656
60768	114624
60864	114592
60672	114560
60736	114496
60800	114496
60896	114528
60896	114400
60832	114400
60768	114400
60672	114464
60704	114368
60672	114272
60672	114176
60800	114336
60864	114304
60864	114144
60864	115200
60864	115104
60800	115008
60864	114976
60864	114880
60768	114880
60704	114976
60704	114816
60768	114720
60832	114784
60832	114688
60896	114688
60672	114720
60928	114624
60992	114592
60960	114496
61056	115168
61120	115072
60992	115136
60928	115040
60960	114976
61024	115040
61088	114976
61024	114880
60928	114880
60928	114784
61024	114784
61088	114848
61120	114752
61152	114944
61184	114848
60960	114720
61024	114688
