XPOS	YPOS
50400	102240
50560	102048
50752	101856
51008	101792
51072	101536
51232	101344
51424	101184
50656	102496
50848	102272
51040	102080
51264	101728
51424	101568
51616	101408
50848	102688
51040	102496
51264	102336
51424	101984
51584	101760
51744	101600
51104	102944
51264	102752
51488	102528
51616	102144
51776	101952
51936	101760
51296	103168
51488	102976
51680	102720
51776	102272
51936	102112
52096	101920
51488	103360
51680	103136
51872	102912
51936	102432
52128	102272
52288	102112
51680	103552
51872	103360
52064	103136
52160	102688
52352	102496
52480	102304
51872	103712
52032	103520
52256	103296
52384	102848
52544	102656
52672	102528
52032	103904
52224	103712
52416	103520
52544	103040
52704	102848
52864	102688
52224	104096
52416	103936
52544	103776
52736	103200
52896	103040
53056	102848
53024	103168
53152	103072
