TRAPX	TRAPY
52704	103072
52672	103040
52640	103008
52608	102976
52576	102944
52544	102912
52544	102848
52544	102784
52576	102720
52576	102656
52608	102592
52608	102528
52608	102464
52640	102432
52704	102400
53216	102272
53184	102336
52736	102368
52768	102304
52800	102240
52832	102208
52864	102176
52896	102144
52928	102112
52928	102048
52960	101984
52960	101920
52960	101856
52928	101792
52928	101728
52928	101664
53152	102400
53120	102432
53088	102496
53056	102560
53024	102592
52992	102624
52960	102656
52928	102720
52928	102784
52896	102848
52864	102912
52832	102976
52800	103040
52768	103104
52736	103072
53408	101984
53376	102016
53344	102048
53312	102080
53280	102144
53248	102208
