EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
头部01	MA_HD_001_ST01.spr	MA_HD_001_ST01.spr	MA_HD_001_ST01.spr	MA_HD_001_ST04.spr	MA_HD_001_ST05.spr	MA_HD_001_ST06.spr	MA_HD_001_RN01.spr	MA_HD_001_RN01.spr	MA_HD_001_RN02.spr	MA_HD_001_RN03.spr	MA_HD_001_RN04.spr	MA_HD_001_RN01.spr	MA_HD_001_RN01.spr	MA_HD_001_RN02.spr	MA_HD_001_RN03.spr	MA_HD_001_RN04.spr	MA_HD_001_IJ01.spr	MA_HD_001_IJ02.spr	MA_HD_001_IJ03.spr	MA_HD_001_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_001_AT01.spr	MA_HD_001_AT03.spr	MA_HD_001_AT03.spr	MA_HD_001_AT04.spr	MA_HD_001_AT04.spr	MA_HD_001_AT07.spr	MA_HD_001_AT07.spr	MA_HD_001_MG01.spr	MA_HD_001_AT01.spr	MA_HD_001_AT03.spr	MA_HD_001_AT04.spr	MA_HD_001_AT07.spr	MA_HD_001_ZZ01.spr	MA_HD_001_JP01.spr	MA_HD_001_RD01.spr	MA_HD_001_HR01.spr	MA_HD_001_HR01.spr	MA_HD_001_HA01.spr	MA_HD_001_HA01.spr	MA_HD_001_HA01.spr	MA_HD_001_HI01.spr	All_DE01.spr	MA_HD_001_RD01.spr	MA_HD_001_RD01.spr
头部02	MA_HD_003_ST01.spr	MA_HD_003_ST01.spr	MA_HD_003_ST01.spr	MA_HD_003_ST04.spr	MA_HD_003_ST05.spr	MA_HD_003_ST06.spr	MA_HD_003_RN01.spr	MA_HD_003_RN01.spr	MA_HD_003_RN02.spr	MA_HD_003_RN03.spr	MA_HD_003_RN04.spr	MA_HD_003_RN01.spr	MA_HD_003_RN01.spr	MA_HD_003_RN02.spr	MA_HD_003_RN03.spr	MA_HD_003_RN04.spr	MA_HD_003_IJ01.spr	MA_HD_003_IJ02.spr	MA_HD_003_IJ03.spr	MA_HD_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_003_AT01.spr	MA_HD_003_AT03.spr	MA_HD_003_AT03.spr	MA_HD_003_AT04.spr	MA_HD_003_AT04.spr	MA_HD_003_AT07.spr	MA_HD_003_AT07.spr	MA_HD_003_MG01.spr	MA_HD_003_AT01.spr	MA_HD_003_AT03.spr	MA_HD_003_AT04.spr	MA_HD_003_AT07.spr	MA_HD_003_ZZ01.spr	MA_HD_003_JP01.spr	MA_HD_003_RD01.spr	MA_HD_003_HR01.spr	MA_HD_003_HR01.spr	MA_HD_003_HA01.spr	MA_HD_003_HA01.spr	MA_HD_003_HA01.spr	MA_HD_003_HI01.spr	All_DE01.spr	MA_HD_003_RD01.spr	MA_HD_003_RD01.spr
头部03	MA_HD_003_ST01.spr	MA_HD_003_ST01.spr	MA_HD_003_ST01.spr	MA_HD_003_ST04.spr	MA_HD_003_ST05.spr	MA_HD_003_ST06.spr	MA_HD_003_RN01.spr	MA_HD_003_RN01.spr	MA_HD_003_RN02.spr	MA_HD_003_RN03.spr	MA_HD_003_RN04.spr	MA_HD_003_RN01.spr	MA_HD_003_RN01.spr	MA_HD_003_RN02.spr	MA_HD_003_RN03.spr	MA_HD_003_RN04.spr	MA_HD_003_IJ01.spr	MA_HD_003_IJ02.spr	MA_HD_003_IJ03.spr	MA_HD_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_003_AT01.spr	MA_HD_003_AT03.spr	MA_HD_003_AT03.spr	MA_HD_003_AT04.spr	MA_HD_003_AT04.spr	MA_HD_003_AT07.spr	MA_HD_003_AT07.spr	MA_HD_003_MG01.spr	MA_HD_003_AT01.spr	MA_HD_003_AT03.spr	MA_HD_003_AT04.spr	MA_HD_003_AT07.spr	MA_HD_003_ZZ01.spr	MA_HD_003_JP01.spr	MA_HD_003_RD01.spr	MA_HD_003_HR01.spr	MA_HD_003_HR01.spr	MA_HD_003_HA01.spr	MA_HD_003_HA01.spr	MA_HD_003_HA01.spr	MA_HD_003_HI01.spr	All_DE01.spr	MA_HD_003_RD01.spr	MA_HD_003_RD01.spr
头部04	MA_HD_004_ST01.spr	MA_HD_004_ST01.spr	MA_HD_004_ST01.spr	MA_HD_004_ST04.spr	MA_HD_004_ST05.spr	MA_HD_004_ST06.spr	MA_HD_004_RN01.spr	MA_HD_004_RN01.spr	MA_HD_004_RN02.spr	MA_HD_004_RN03.spr	MA_HD_004_RN04.spr	MA_HD_004_RN01.spr	MA_HD_004_RN01.spr	MA_HD_004_RN02.spr	MA_HD_004_RN03.spr	MA_HD_004_RN04.spr	MA_HD_004_IJ01.spr	MA_HD_004_IJ02.spr	MA_HD_004_IJ03.spr	MA_HD_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_004_AT01.spr	MA_HD_004_AT03.spr	MA_HD_004_AT03.spr	MA_HD_004_AT04.spr	MA_HD_004_AT04.spr	MA_HD_004_AT07.spr	MA_HD_004_AT07.spr	MA_HD_004_MG01.spr	MA_HD_004_AT01.spr	MA_HD_004_AT03.spr	MA_HD_004_AT04.spr	MA_HD_004_AT07.spr	MA_HD_004_ZZ01.spr	MA_HD_004_JP01.spr	MA_HD_004_RD01.spr	MA_HD_004_HR01.spr	MA_HD_004_HR01.spr	MA_HD_004_HA01.spr	MA_HD_004_HA01.spr	MA_HD_004_HA01.spr	MA_HD_004_HI01.spr	All_DE01.spr	MA_HD_004_RD01.spr	MA_HD_004_RD01.spr
头部05	MA_HD_006_ST01.spr	MA_HD_006_ST01.spr	MA_HD_006_ST01.spr	MA_HD_006_ST04.spr	MA_HD_006_ST05.spr	MA_HD_006_ST06.spr	MA_HD_006_RN01.spr	MA_HD_006_RN01.spr	MA_HD_006_RN02.spr	MA_HD_006_RN03.spr	MA_HD_006_RN04.spr	MA_HD_006_RN01.spr	MA_HD_006_RN01.spr	MA_HD_006_RN02.spr	MA_HD_006_RN03.spr	MA_HD_006_RN04.spr	MA_HD_006_IJ01.spr	MA_HD_006_IJ02.spr	MA_HD_006_IJ03.spr	MA_HD_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_006_AT01.spr	MA_HD_006_AT03.spr	MA_HD_006_AT03.spr	MA_HD_006_AT04.spr	MA_HD_006_AT04.spr	MA_HD_006_AT07.spr	MA_HD_006_AT07.spr	MA_HD_006_MG01.spr	MA_HD_006_AT01.spr	MA_HD_006_AT03.spr	MA_HD_006_AT04.spr	MA_HD_006_AT07.spr	MA_HD_006_ZZ01.spr	MA_HD_006_JP01.spr	MA_HD_006_RD01.spr	MA_HD_006_HR01.spr	MA_HD_006_HR01.spr	MA_HD_006_HA01.spr	MA_HD_006_HA01.spr	MA_HD_006_HA01.spr	MA_HD_006_HI01.spr	All_DE01.spr	MA_HD_006_RD01.spr	MA_HD_006_RD01.spr
头部06	MA_HD_006_ST01.spr	MA_HD_006_ST01.spr	MA_HD_006_ST01.spr	MA_HD_006_ST04.spr	MA_HD_006_ST05.spr	MA_HD_006_ST06.spr	MA_HD_006_RN01.spr	MA_HD_006_RN01.spr	MA_HD_006_RN02.spr	MA_HD_006_RN03.spr	MA_HD_006_RN04.spr	MA_HD_006_RN01.spr	MA_HD_006_RN01.spr	MA_HD_006_RN02.spr	MA_HD_006_RN03.spr	MA_HD_006_RN04.spr	MA_HD_006_IJ01.spr	MA_HD_006_IJ02.spr	MA_HD_006_IJ03.spr	MA_HD_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_006_AT01.spr	MA_HD_006_AT03.spr	MA_HD_006_AT03.spr	MA_HD_006_AT04.spr	MA_HD_006_AT04.spr	MA_HD_006_AT07.spr	MA_HD_006_AT07.spr	MA_HD_006_MG01.spr	MA_HD_006_AT01.spr	MA_HD_006_AT03.spr	MA_HD_006_AT04.spr	MA_HD_006_AT07.spr	MA_HD_006_ZZ01.spr	MA_HD_006_JP01.spr	MA_HD_006_RD01.spr	MA_HD_006_HR01.spr	MA_HD_006_HR01.spr	MA_HD_006_HA01.spr	MA_HD_006_HA01.spr	MA_HD_006_HA01.spr	MA_HD_006_HI01.spr	All_DE01.spr	MA_HD_006_RD01.spr	MA_HD_006_RD01.spr
头部07	MA_HD_007_ST01.spr	MA_HD_007_ST01.spr	MA_HD_007_ST01.spr	MA_HD_007_ST04.spr	MA_HD_007_ST05.spr	MA_HD_007_ST06.spr	MA_HD_007_RN01.spr	MA_HD_007_RN01.spr	MA_HD_007_RN02.spr	MA_HD_007_RN03.spr	MA_HD_007_RN04.spr	MA_HD_007_RN01.spr	MA_HD_007_RN01.spr	MA_HD_007_RN02.spr	MA_HD_007_RN03.spr	MA_HD_007_RN04.spr	MA_HD_007_IJ01.spr	MA_HD_007_IJ02.spr	MA_HD_007_IJ03.spr	MA_HD_007_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_007_AT01.spr	MA_HD_007_AT03.spr	MA_HD_007_AT03.spr	MA_HD_007_AT04.spr	MA_HD_007_AT04.spr	MA_HD_007_AT07.spr	MA_HD_007_AT07.spr	MA_HD_007_MG01.spr	MA_HD_007_AT01.spr	MA_HD_007_AT03.spr	MA_HD_007_AT04.spr	MA_HD_007_AT07.spr	MA_HD_007_ZZ01.spr	MA_HD_007_JP01.spr	MA_HD_007_RD01.spr	MA_HD_007_HR01.spr	MA_HD_007_HR01.spr	MA_HD_007_HA01.spr	MA_HD_007_HA01.spr	MA_HD_007_HA01.spr	MA_HD_007_HI01.spr	All_DE01.spr	MA_HD_007_RD01.spr	MA_HD_007_RD01.spr
头部08	MA_HD_008_ST01.spr	MA_HD_008_ST01.spr	MA_HD_008_ST01.spr	MA_HD_008_ST04.spr	MA_HD_008_ST05.spr	MA_HD_008_ST06.spr	MA_HD_008_RN01.spr	MA_HD_008_RN01.spr	MA_HD_008_RN02.spr	MA_HD_008_RN03.spr	MA_HD_008_RN04.spr	MA_HD_008_RN01.spr	MA_HD_008_RN01.spr	MA_HD_008_RN02.spr	MA_HD_008_RN03.spr	MA_HD_008_RN04.spr	MA_HD_008_IJ01.spr	MA_HD_008_IJ02.spr	MA_HD_008_IJ03.spr	MA_HD_008_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_008_AT01.spr	MA_HD_008_AT03.spr	MA_HD_008_AT03.spr	MA_HD_008_AT04.spr	MA_HD_008_AT04.spr	MA_HD_008_AT07.spr	MA_HD_008_AT07.spr	MA_HD_008_MG01.spr	MA_HD_008_AT01.spr	MA_HD_008_AT03.spr	MA_HD_008_AT04.spr	MA_HD_008_AT07.spr	MA_HD_008_ZZ01.spr	MA_HD_008_JP01.spr	MA_HD_008_RD01.spr	MA_HD_008_HR01.spr	MA_HD_008_HR01.spr	MA_HD_008_HA01.spr	MA_HD_008_HA01.spr	MA_HD_008_HA01.spr	MA_HD_008_HI01.spr	All_DE01.spr	MA_HD_008_RD01.spr	MA_HD_008_RD01.spr
头部09	MA_HD_009_ST01.spr	MA_HD_009_ST01.spr	MA_HD_009_ST01.spr	MA_HD_009_ST04.spr	MA_HD_009_ST05.spr	MA_HD_009_ST06.spr	MA_HD_009_RN01.spr	MA_HD_009_RN01.spr	MA_HD_009_RN02.spr	MA_HD_009_RN03.spr	MA_HD_009_RN04.spr	MA_HD_009_RN01.spr	MA_HD_009_RN01.spr	MA_HD_009_RN02.spr	MA_HD_009_RN03.spr	MA_HD_009_RN04.spr	MA_HD_009_IJ01.spr	MA_HD_009_IJ02.spr	MA_HD_009_IJ03.spr	MA_HD_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_009_AT01.spr	MA_HD_009_AT03.spr	MA_HD_009_AT03.spr	MA_HD_009_AT04.spr	MA_HD_009_AT04.spr	MA_HD_009_AT07.spr	MA_HD_009_AT07.spr	MA_HD_009_MG01.spr	MA_HD_009_AT01.spr	MA_HD_009_AT03.spr	MA_HD_009_AT04.spr	MA_HD_009_AT07.spr	MA_HD_009_ZZ01.spr	MA_HD_009_JP01.spr	MA_HD_009_RD01.spr	MA_HD_009_HR01.spr	MA_HD_009_HR01.spr	MA_HD_009_HA01.spr	MA_HD_009_HA01.spr	MA_HD_009_HA01.spr	MA_HD_009_HI01.spr	All_DE01.spr	MA_HD_009_RD01.spr	MA_HD_009_RD01.spr
头部10	MA_HD_012_ST01.spr	MA_HD_012_ST01.spr	MA_HD_012_ST01.spr	MA_HD_012_ST04.spr	MA_HD_012_ST05.spr	MA_HD_012_ST06.spr	MA_HD_012_RN01.spr	MA_HD_012_RN01.spr	MA_HD_012_RN02.spr	MA_HD_012_RN03.spr	MA_HD_012_RN04.spr	MA_HD_012_RN01.spr	MA_HD_012_RN01.spr	MA_HD_012_RN02.spr	MA_HD_012_RN03.spr	MA_HD_012_RN04.spr	MA_HD_012_IJ01.spr	MA_HD_012_IJ02.spr	MA_HD_012_IJ03.spr	MA_HD_012_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_HD_012_AT01.spr	MA_HD_012_AT03.spr	MA_HD_012_AT03.spr	MA_HD_012_AT04.spr	MA_HD_012_AT04.spr	MA_HD_012_AT07.spr	MA_HD_012_AT07.spr	MA_HD_012_MG01.spr	MA_HD_012_AT01.spr	MA_HD_012_AT03.spr	MA_HD_012_AT04.spr	MA_HD_012_AT07.spr	MA_HD_012_ZZ01.spr	MA_HD_012_JP01.spr	MA_HD_012_RD01.spr	MA_HD_012_HR01.spr	MA_HD_012_HR01.spr	MA_HD_012_HA01.spr	MA_HD_012_HA01.spr	MA_HD_012_HA01.spr	MA_HD_012_HI01.spr	All_DE01.spr	MA_HD_012_RD01.spr	MA_HD_012_RD01.spr
