EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
躯体01	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体02	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体03	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体04	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体05	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体06	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体07	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体08	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体09	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体10	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体11	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体12	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体13	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体14	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体15	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体16	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体17	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
躯体18	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	20,1,1	20,1,1	20,1,1	20,1,1	144,8,1	112,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	144,8,1	112,8,1	96,8,1	96,8,1	72,8,1	160,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
