EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Th©n th” 01	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST04.spr	MA_SH_003_ST05.spr	MA_SH_003_ST06.spr	MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr	MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr	MA_SH_003_IJ01.spr	MA_SH_003_IJ02.spr	MA_SH_003_IJ03.spr	MA_SH_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_003_AT01.spr	MA_SH_003_AT03.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT04.spr	MA_SH_003_AT07.spr	MA_SH_003_AT07.spr	MA_SH_003_MG01.spr	MA_SH_003_AT01.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT07.spr	MA_SH_003_ZZ01.spr	MA_SH_003_JP01.spr										
Th©n th” 02	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST04.spr	MA_SH_003_ST05.spr	MA_SH_003_ST06.spr	MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr	MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr	MA_SH_003_IJ01.spr	MA_SH_003_IJ02.spr	MA_SH_003_IJ03.spr	MA_SH_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_003_AT01.spr	MA_SH_003_AT03.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT04.spr	MA_SH_003_AT07.spr	MA_SH_003_AT07.spr	MA_SH_003_MG01.spr	MA_SH_003_AT01.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT07.spr	MA_SH_003_ZZ01.spr	MA_SH_003_JP01.spr										
Th©n th” 03	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST01.spr	MA_SH_003_ST04.spr	MA_SH_003_ST05.spr	MA_SH_003_ST06.spr	MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr	MA_SH_003_RN01.spr	MA_SH_003_RN01.spr	MA_SH_003_RN02.spr	MA_SH_003_RN03.spr	MA_SH_003_RN04.spr	MA_SH_003_IJ01.spr	MA_SH_003_IJ02.spr	MA_SH_003_IJ03.spr	MA_SH_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_003_AT01.spr	MA_SH_003_AT03.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT04.spr	MA_SH_003_AT07.spr	MA_SH_003_AT07.spr	MA_SH_003_MG01.spr	MA_SH_003_AT01.spr	MA_SH_003_AT03.spr	MA_SH_003_AT04.spr	MA_SH_003_AT07.spr	MA_SH_003_ZZ01.spr	MA_SH_003_JP01.spr										
Th©n th” 04	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST04.spr	MA_SH_006_ST05.spr	MA_SH_006_ST06.spr	MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr	MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr	MA_SH_006_IJ01.spr	MA_SH_006_IJ02.spr	MA_SH_006_IJ03.spr	MA_SH_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_006_AT01.spr	MA_SH_006_AT03.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT04.spr	MA_SH_006_AT07.spr	MA_SH_006_AT07.spr	MA_SH_006_MG01.spr	MA_SH_006_AT01.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT07.spr	MA_SH_006_ZZ01.spr	MA_SH_006_JP01.spr	MA_SH_006_RD01.spr	MA_SH_006_HR01.spr	MA_SH_006_HR01.spr	MA_SH_006_HA01.spr	MA_SH_006_HA01.spr	MA_SH_006_HA01.spr	MA_SH_006_HI01.spr	All_DE01.spr	MA_SH_006_RD01.spr	MA_SH_006_RD01.spr
Th©n th” 05	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST04.spr	MA_SH_006_ST05.spr	MA_SH_006_ST06.spr	MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr	MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr	MA_SH_006_IJ01.spr	MA_SH_006_IJ02.spr	MA_SH_006_IJ03.spr	MA_SH_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_006_AT01.spr	MA_SH_006_AT03.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT04.spr	MA_SH_006_AT07.spr	MA_SH_006_AT07.spr	MA_SH_006_MG01.spr	MA_SH_006_AT01.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT07.spr	MA_SH_006_ZZ01.spr	MA_SH_006_JP01.spr	MA_SH_006_RD01.spr	MA_SH_006_HR01.spr	MA_SH_006_HR01.spr	MA_SH_006_HA01.spr	MA_SH_006_HA01.spr	MA_SH_006_HA01.spr	MA_SH_006_HI01.spr	All_DE01.spr	MA_SH_006_RD01.spr	MA_SH_006_RD01.spr
Th©n th” 06	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST01.spr	MA_SH_006_ST04.spr	MA_SH_006_ST05.spr	MA_SH_006_ST06.spr	MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr	MA_SH_006_RN01.spr	MA_SH_006_RN01.spr	MA_SH_006_RN02.spr	MA_SH_006_RN03.spr	MA_SH_006_RN04.spr	MA_SH_006_IJ01.spr	MA_SH_006_IJ02.spr	MA_SH_006_IJ03.spr	MA_SH_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_006_AT01.spr	MA_SH_006_AT03.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT04.spr	MA_SH_006_AT07.spr	MA_SH_006_AT07.spr	MA_SH_006_MG01.spr	MA_SH_006_AT01.spr	MA_SH_006_AT03.spr	MA_SH_006_AT04.spr	MA_SH_006_AT07.spr	MA_SH_006_ZZ01.spr	MA_SH_006_JP01.spr	MA_SH_006_RD01.spr	MA_SH_006_HR01.spr	MA_SH_006_HR01.spr	MA_SH_006_HA01.spr	MA_SH_006_HA01.spr	MA_SH_006_HA01.spr	MA_SH_006_HI01.spr	All_DE01.spr	MA_SH_006_RD01.spr	MA_SH_006_RD01.spr
Th©n th” 07	MA_SH_009_ST01.spr	MA_SH_009_ST01.spr	MA_SH_009_ST01.spr	MA_SH_009_ST04.spr	MA_SH_009_ST05.spr	MA_SH_009_ST06.spr	MA_SH_009_RN01.spr	MA_SH_009_RN01.spr	MA_SH_009_RN02.spr	MA_SH_009_RN03.spr	MA_SH_009_RN04.spr	MA_SH_009_RN01.spr	MA_SH_009_RN01.spr	MA_SH_009_RN02.spr	MA_SH_009_RN03.spr	MA_SH_009_RN04.spr	MA_SH_009_IJ01.spr	MA_SH_009_IJ02.spr	MA_SH_009_IJ03.spr	MA_SH_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_009_AT01.spr	MA_SH_009_AT03.spr	MA_SH_009_AT03.spr	MA_SH_009_AT04.spr	MA_SH_009_AT04.spr	MA_SH_009_AT07.spr	MA_SH_009_AT07.spr	MA_SH_009_MG01.spr	MA_SH_009_AT01.spr	MA_SH_009_AT03.spr	MA_SH_009_AT04.spr	MA_SH_009_AT07.spr	MA_SH_009_ZZ01.spr	MA_SH_009_JP01.spr	MA_SH_009_RD01.spr	MA_SH_009_HR01.spr	MA_SH_009_HR01.spr	MA_SH_009_HA01.spr	MA_SH_009_HA01.spr	MA_SH_009_HA01.spr	MA_SH_009_HI01.spr	All_DE01.spr	MA_SH_009_RD01.spr	MA_SH_009_RD01.spr
Th©n th” 08	MA_SH_009_ST01.spr	MA_SH_009_ST01.spr	MA_SH_009_ST01.spr	MA_SH_009_ST04.spr	MA_SH_009_ST05.spr	MA_SH_009_ST06.spr	MA_SH_009_RN01.spr	MA_SH_009_RN01.spr	MA_SH_009_RN02.spr	MA_SH_009_RN03.spr	MA_SH_009_RN04.spr	MA_SH_009_RN01.spr	MA_SH_009_RN01.spr	MA_SH_009_RN02.spr	MA_SH_009_RN03.spr	MA_SH_009_RN04.spr	MA_SH_009_IJ01.spr	MA_SH_009_IJ02.spr	MA_SH_009_IJ03.spr	MA_SH_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_009_AT01.spr	MA_SH_009_AT03.spr	MA_SH_009_AT03.spr	MA_SH_009_AT04.spr	MA_SH_009_AT04.spr	MA_SH_009_AT07.spr	MA_SH_009_AT07.spr	MA_SH_009_MG01.spr	MA_SH_009_AT01.spr	MA_SH_009_AT03.spr	MA_SH_009_AT04.spr	MA_SH_009_AT07.spr	MA_SH_009_ZZ01.spr	MA_SH_009_JP01.spr	MA_SH_009_RD01.spr	MA_SH_009_HR01.spr	MA_SH_009_HR01.spr	MA_SH_009_HA01.spr	MA_SH_009_HA01.spr	MA_SH_009_HA01.spr	MA_SH_009_HI01.spr	All_DE01.spr	MA_SH_009_RD01.spr	MA_SH_009_RD01.spr
Th©n th” 09	MA_SH_009_ST01.spr	MA_SH_009_ST01.spr	MA_SH_009_ST01.spr	MA_SH_009_ST04.spr	MA_SH_009_ST05.spr	MA_SH_009_ST06.spr	MA_SH_009_RN01.spr	MA_SH_009_RN01.spr	MA_SH_009_RN02.spr	MA_SH_009_RN03.spr	MA_SH_009_RN04.spr	MA_SH_009_RN01.spr	MA_SH_009_RN01.spr	MA_SH_009_RN02.spr	MA_SH_009_RN03.spr	MA_SH_009_RN04.spr	MA_SH_009_IJ01.spr	MA_SH_009_IJ02.spr	MA_SH_009_IJ03.spr	MA_SH_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_009_AT01.spr	MA_SH_009_AT03.spr	MA_SH_009_AT03.spr	MA_SH_009_AT04.spr	MA_SH_009_AT04.spr	MA_SH_009_AT07.spr	MA_SH_009_AT07.spr	MA_SH_009_MG01.spr	MA_SH_009_AT01.spr	MA_SH_009_AT03.spr	MA_SH_009_AT04.spr	MA_SH_009_AT07.spr	MA_SH_009_ZZ01.spr	MA_SH_009_JP01.spr	MA_SH_009_RD01.spr	MA_SH_009_HR01.spr	MA_SH_009_HR01.spr	MA_SH_009_HA01.spr	MA_SH_009_HA01.spr	MA_SH_009_HA01.spr	MA_SH_009_HI01.spr	All_DE01.spr	MA_SH_009_RD01.spr	MA_SH_009_RD01.spr
Th©n th” 10	MA_SH_012_ST01.spr	MA_SH_012_ST01.spr	MA_SH_012_ST01.spr	MA_SH_012_ST04.spr	MA_SH_012_ST05.spr	MA_SH_012_ST06.spr	MA_SH_012_RN01.spr	MA_SH_012_RN01.spr	MA_SH_012_RN02.spr	MA_SH_012_RN03.spr	MA_SH_012_RN04.spr	MA_SH_012_RN01.spr	MA_SH_012_RN01.spr	MA_SH_012_RN02.spr	MA_SH_012_RN03.spr	MA_SH_012_RN04.spr	MA_SH_012_IJ01.spr	MA_SH_012_IJ02.spr	MA_SH_012_IJ03.spr	MA_SH_012_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	MA_SH_012_AT01.spr	MA_SH_012_AT03.spr	MA_SH_012_AT03.spr	MA_SH_012_AT04.spr	MA_SH_012_AT04.spr	MA_SH_012_AT07.spr	MA_SH_012_AT07.spr	MA_SH_012_MG01.spr	MA_SH_012_AT01.spr	MA_SH_012_AT03.spr	MA_SH_012_AT04.spr	MA_SH_012_AT07.spr	MA_SH_012_ZZ01.spr	MA_SH_012_JP01.spr	MA_SH_012_RD01.spr	MA_SH_012_HR01.spr	MA_SH_012_HR01.spr	MA_SH_012_HA01.spr	MA_SH_012_HA01.spr	MA_SH_012_HA01.spr	MA_SH_012_HI01.spr	All_DE01.spr	MA_SH_012_RD01.spr	MA_SH_012_RD01.spr
