EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
头部01	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部02	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部03	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部04	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部05	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部06	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部07	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部08	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部09	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
头部10	80,8,1	80,8,1	80,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	20,1,1	20,1,1	20,1,1	20,1,1	96,8,1	104,8,1	104,8,1	104,8,1	104,8,1	96,8,1	96,8,1	96,8,1	96,8,1	104,8,1	104,8,1	96,8,1	96,8,1	112,8,1	112,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	48,8,1	20,1,1	112,8,1	112,8,1
