装备名称	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
马匹1																																																
马匹2																																																
马匹3																																																
马匹4																																																
马匹5																																																
马匹6																																																
马匹7																																																
马匹8																																																
马匹9																																																
马匹10																																																
马匹11																																																
马匹12																																																
马匹13																																																
马匹14																																																
马匹15																																																
马匹16																																																
马匹17																																																
马匹18																																																
马匹19																																																
马匹20																																																
马匹21																																																
马匹22																																																
马匹23																																							..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr
马匹24																																																
马匹25																																																
马匹26																																																
马匹27																																																
