EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Tay kh«ng																																																	
®¬n thñ kiÕm 1																																																	
®¬n thñ kiÕm 2																																																	
®¬n thñ kiÕm 3																																																	
®¬n thñ ®ao 1																																																	
®¬n thñ ®ao 2																																																	
®¬n thñ ®ao 3																																																	
Lo¹i tr­êng th­¬ng 1																																																	
Lo¹i tr­êng th­¬ng 2																																																	
Lo¹i tr­êng th­¬ng 3																																																	
Lo¹i tr­êng c«n 1																																																	
Lo¹i tr­êng c«n 2																																																	
Lo¹i tr­êng c«n 3																																																	
Lo¹i Song kiÕm 1																																																	
Lo¹i Song kiÕm 2																																																	
Lo¹i Song kiÕm 3																																																	
Lo¹i Song chïy 1																																																	
Lo¹i Song chïy 2																																																	
Lo¹i Song chïy 3																																																	
¸m khÝ 																																																	
®¬n thñ kiÕm 4																																																	
®¬n thñ kiÕm 5																																																	
®¬n thñ ®ao 4																																																	
®¬n thñ ®ao 5																																																	
Lo¹i tr­êng th­¬ng 4																																																	
Lo¹i tr­êng th­¬ng 5																																																	
Lo¹i tr­êng c«n 4																																																	
Lo¹i tr­êng c«n 5																																																	
Lo¹i Song kiÕm 4																																																	
Lo¹i Song kiÕm 5																																																	
Lo¹i Song chïy 4																																																	
Lo¹i Song chïy 5																																																	
µ¥ÊÖµ¶6(½ðÏµ)																																																	
µ¥ÊÖµ¶7(Ë®Ïµ)																																																	
µ¥ÊÖµ¶8(Ä¾Ïµ)																																																	
µ¥ÊÖµ¶9(ÍÁÏµ)																																																	
µ¥ÊÖ½£6(Ë®Ïµ)																																																	
µ¥ÊÖ½£7(ÍÁÏµ)																																																	
³¤Ç¹Àà6(½ðÏµ)																																																	
³¤Ç¹Àà7(»ðÏµ)																																																	
³¤¹÷Àà6(½ðÏµ)																																																	
³¤¹÷Àà7(»ðÏµ)																																																	
Ë«½£Àà6(Ë®Ïµ)																																																	
Ë«´¸Àà6(½ðÏµ)																																																	
Ë«²øÊÖ-½ð	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_000_ST04.spr	FM_RF_000_ST05.spr	FM_RF_000_ST06.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_IJ01.spr	FM_RF_000_IJ02.spr	FM_RF_000_IJ03.spr	FM_RF_000_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_001_AT01.spr	FM_RF_000_AT03.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT04.spr	FM_RF_000_AT07.spr	FM_RF_000_AT07.spr	FM_RF_001_MG01.spr	FM_RF_001_AT02.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT05.spr	FM_RF_001_ZZ01.spr	FM_RF_001_JP01.spr	FM_RF_008_RD01.spr	FM_RF_008_HR01.spr	FM_RF_008_HR01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HI01.spr	All_DE01.spr	FM_RF_008_RD01.spr	FM_RF_008_RD01.spr	0x808000
