◊∞±∏√˚≥∆	ø’ ÷’æ¡¢1	ø’ ÷’æ¡¢2	ø’ ÷’æ¡¢3	∂ÃŒ‰∆˜’æ¡¢	≥§Œ‰∆˜’æ¡¢	À´Œ‰∆˜’æ¡¢	ø’ ÷◊ﬂ¬∑	∆’Õ®◊ﬂ¬∑	∂ÃŒ‰∆˜◊ﬂ¬∑	≥§Œ‰∆˜◊ﬂ¬∑	À´Œ‰∆˜◊ﬂ¬∑	ø’ ÷≈‹≤Ω	∆’Õ®≈‹≤Ω	∂ÃŒ‰∆˜≈‹≤Ω	≥§Œ‰∆˜≈‹≤Ω	À´Œ‰∆˜≈‹≤Ω	ø’ ÷ ‹…À	∂ÃŒ‰∆˜ ‹…À	≥§Œ‰∆˜ ‹…À	À´Œ‰∆˜ ‹…À	ø’ ÷À¿Õˆ	∂ÃŒ‰∆˜À¿Õˆ	≥§Œ‰∆˜À¿Õˆ	À´Œ‰∆˜À¿Õˆ	ø’ ÷π•ª˜	∂ÃŒ‰∆˜¥Ã	∂ÃŒ‰∆˜ø≥	≥§Œ‰∆˜¥¡	≥§Œ‰∆˜≈¸	À´Œ‰∆˜ªÆ	À´Œ‰∆˜‘“	∞µ∆˜Õ∂÷¿	ø’ ÷ƒß∑®	∂ÃŒ‰∆˜ƒß∑®	≥§Œ‰∆˜ƒß∑®	À´Œ‰∆˜ƒß∑®	¥Ú◊¯	Ã¯‘æ	∆Ô¬Ì’æ¡¢	∆Ô¬Ì◊ﬂ∂Ø	∆Ô¬Ì≈‹≤Ω	∆Ô¬Ìπ•ª˜≈¸	∆Ô¬Ìπ•ª˜¥Ã	∆Ô¬Ìƒß∑®	∆Ô¬Ì ‹…À	∆Ô¬ÌÀ¿Õˆ	∆Ô¬Ì’æ¡¢1	∆Ô¬Ì’æ¡¢2
Th©n th” 01	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 02	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 03	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 04	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 05	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 06	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 07	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 08	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 09	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 10	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	96,8,1	88,8,1	120,8,1	144,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
