EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
空手	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑1	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑2	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑3	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀1	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀2	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀3	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类1	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类2	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类3	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类1	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类2	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长棍类3	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类1	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类2	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双剑类3	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类1	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类2	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
双锤类3	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
暗器	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑4	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1	104,8,1			96,8,1		96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手剑5	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀4	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
单手刀5	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类4	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
长枪类5	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
