EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Tay kh«ng	FM_RW_000_ST01.spr	FM_RW_000_ST02.spr	FM_RW_000_ST03.spr	FM_RW_000_ST04.spr	FM_RW_000_ST05.spr	FM_RW_000_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_000_WK02.spr	FM_RW_000_WK03.spr	FM_RW_000_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_000_RN02.spr	FM_RW_000_RN03.spr	FM_RW_000_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_000_IJ02.spr	FM_RW_000_IJ03.spr	FM_RW_000_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_000_DE02.spr	FM_RW_000_DE03.spr	FM_RW_000_DE04.spr	FM_RW_000_AT01.spr	FM_RW_000_AT02.spr	FM_RW_000_AT03.spr	FM_RW_000_AT04.spr	FM_RW_000_AT05.spr	FM_RW_000_AT06.spr	FM_RW_000_AT07.spr	FM_RW_000_MG01.spr	FM_RW_000_MG02.spr	FM_RW_000_MG03.spr	FM_RW_000_MG04.spr	FM_RW_000_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_000_RD01.spr	FM_RW_000_HW01.spr	FM_RW_000_HR01.spr	FM_RW_000_HA01.spr	FM_RW_000_HA02.spr	FM_RW_000_HM01.spr	FM_RW_000_HI01.spr	FM_RW_000_HD01.spr	FM_RW_000_RD01.spr	FM_RW_000_RD01.spr
®¬n thñ kiÕm 1	FM_RW_001_ST01.spr	FM_RW_001_ST02.spr	FM_RW_000_ST03.spr	FM_RW_001_ST04.spr	FM_RW_001_ST05.spr	FM_RW_001_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_001_WK02.spr	FM_RW_001_WK03.spr	FM_RW_001_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_001_RN02.spr	FM_RW_001_RN03.spr	FM_RW_001_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_001_IJ02.spr	FM_RW_001_IJ03.spr	FM_RW_001_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_001_DE02.spr	FM_RW_001_DE03.spr	FM_RW_001_DE04.spr	FM_RW_000_AT01.spr	FM_RW_001_AT02.spr	FM_RW_001_AT03.spr	FM_RW_001_AT04.spr	FM_RW_001_AT05.spr	FM_RW_001_AT06.spr	FM_RW_001_AT07.spr	FM_RW_001_MG01.spr	FM_RW_000_MG02.spr	FM_RW_001_MG03.spr	FM_RW_001_MG04.spr	FM_RW_001_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_001_RD01.spr	FM_RW_001_HW01.spr	FM_RW_001_HR01.spr	FM_RW_001_HA01.spr	FM_RW_001_HA02.spr	FM_RW_001_HM01.spr	FM_RW_001_HI01.spr	FM_RW_001_HD01.spr	FM_RW_001_RD01.spr	FM_RW_001_RD01.spr
®¬n thñ kiÕm 2	FM_RW_002_ST01.spr	FM_RW_002_ST02.spr	FM_RW_000_ST03.spr	FM_RW_002_ST04.spr	FM_RW_002_ST05.spr	FM_RW_002_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_002_WK02.spr	FM_RW_002_WK03.spr	FM_RW_002_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_002_RN02.spr	FM_RW_002_RN03.spr	FM_RW_002_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_002_IJ02.spr	FM_RW_002_IJ03.spr	FM_RW_002_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_002_DE02.spr	FM_RW_002_DE03.spr	FM_RW_002_DE04.spr	FM_RW_000_AT01.spr	FM_RW_002_AT02.spr	FM_RW_002_AT03.spr	FM_RW_002_AT04.spr	FM_RW_002_AT05.spr	FM_RW_002_AT06.spr	FM_RW_002_AT07.spr	FM_RW_002_MG01.spr	FM_RW_000_MG02.spr	FM_RW_002_MG03.spr	FM_RW_002_MG04.spr	FM_RW_002_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_002_RD01.spr	FM_RW_002_HW01.spr	FM_RW_002_HR01.spr	FM_RW_002_HA01.spr	FM_RW_002_HA02.spr	FM_RW_002_HM01.spr	FM_RW_002_HI01.spr	FM_RW_002_HD01.spr	FM_RW_002_RD01.spr	FM_RW_002_RD01.spr
®¬n thñ kiÕm 3	FM_RW_003_ST01.spr	FM_RW_003_ST02.spr	FM_RW_000_ST03.spr	FM_RW_003_ST04.spr	FM_RW_003_ST05.spr	FM_RW_003_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_003_WK02.spr	FM_RW_003_WK03.spr	FM_RW_003_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_003_RN02.spr	FM_RW_003_RN03.spr	FM_RW_003_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_003_IJ02.spr	FM_RW_003_IJ03.spr	FM_RW_003_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_003_DE02.spr	FM_RW_003_DE03.spr	FM_RW_003_DE04.spr	FM_RW_000_AT01.spr	FM_RW_003_AT02.spr	FM_RW_003_AT03.spr	FM_RW_003_AT04.spr	FM_RW_003_AT05.spr	FM_RW_003_AT06.spr	FM_RW_003_AT07.spr	FM_RW_003_MG01.spr	FM_RW_000_MG02.spr	FM_RW_003_MG03.spr	FM_RW_003_MG04.spr	FM_RW_003_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_003_RD01.spr	FM_RW_003_HW01.spr	FM_RW_003_HR01.spr	FM_RW_003_HA01.spr	FM_RW_003_HA02.spr	FM_RW_003_HM01.spr	FM_RW_003_HI01.spr	FM_RW_003_HD01.spr	FM_RW_003_RD01.spr	FM_RW_003_RD01.spr
®¬n thñ ®ao 1	FM_RW_004_ST01.spr	FM_RW_004_ST02.spr	FM_RW_000_ST03.spr	FM_RW_004_ST04.spr	FM_RW_004_ST05.spr	FM_RW_004_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_004_WK02.spr	FM_RW_004_WK03.spr	FM_RW_004_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_004_RN02.spr	FM_RW_004_RN03.spr	FM_RW_004_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_004_IJ02.spr	FM_RW_004_IJ03.spr	FM_RW_004_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_004_DE02.spr	FM_RW_004_DE03.spr	FM_RW_004_DE04.spr	FM_RW_000_AT01.spr	FM_RW_004_AT02.spr	FM_RW_004_AT03.spr	FM_RW_004_AT04.spr	FM_RW_004_AT05.spr	FM_RW_004_AT06.spr	FM_RW_004_AT07.spr	FM_RW_004_MG01.spr	FM_RW_000_MG02.spr	FM_RW_004_MG03.spr	FM_RW_004_MG04.spr	FM_RW_004_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_004_RD01.spr	FM_RW_004_HW01.spr	FM_RW_004_HR01.spr	FM_RW_004_HA01.spr	FM_RW_004_HA02.spr	FM_RW_004_HM01.spr	FM_RW_004_HI01.spr	FM_RW_004_HD01.spr	FM_RW_004_RD01.spr	FM_RW_004_RD01.spr
®¬n thñ ®ao 2	FM_RW_005_ST01.spr	FM_RW_005_ST02.spr	FM_RW_000_ST03.spr	FM_RW_005_ST04.spr	FM_RW_005_ST05.spr	FM_RW_005_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_005_WK02.spr	FM_RW_005_WK03.spr	FM_RW_005_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_005_RN02.spr	FM_RW_005_RN03.spr	FM_RW_005_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_005_IJ02.spr	FM_RW_005_IJ03.spr	FM_RW_005_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_005_DE02.spr	FM_RW_005_DE03.spr	FM_RW_005_DE04.spr	FM_RW_000_AT01.spr	FM_RW_005_AT02.spr	FM_RW_005_AT03.spr	FM_RW_005_AT04.spr	FM_RW_005_AT05.spr	FM_RW_005_AT06.spr	FM_RW_005_AT07.spr	FM_RW_005_MG01.spr	FM_RW_000_MG02.spr	FM_RW_005_MG03.spr	FM_RW_005_MG04.spr	FM_RW_005_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_005_RD01.spr	FM_RW_005_HW01.spr	FM_RW_005_HR01.spr	FM_RW_005_HA01.spr	FM_RW_005_HA02.spr	FM_RW_005_HM01.spr	FM_RW_005_HI01.spr	FM_RW_005_HD01.spr	FM_RW_005_RD01.spr	FM_RW_005_RD01.spr
®¬n thñ ®ao 3	FM_RW_006_ST01.spr	FM_RW_006_ST02.spr	FM_RW_000_ST03.spr	FM_RW_006_ST04.spr	FM_RW_006_ST05.spr	FM_RW_006_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_006_WK02.spr	FM_RW_006_WK03.spr	FM_RW_006_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_006_RN02.spr	FM_RW_006_RN03.spr	FM_RW_006_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_006_IJ02.spr	FM_RW_006_IJ03.spr	FM_RW_006_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_006_DE02.spr	FM_RW_006_DE03.spr	FM_RW_006_DE04.spr	FM_RW_000_AT01.spr	FM_RW_006_AT02.spr	FM_RW_006_AT03.spr	FM_RW_006_AT04.spr	FM_RW_006_AT05.spr	FM_RW_006_AT06.spr	FM_RW_006_AT07.spr	FM_RW_006_MG01.spr	FM_RW_000_MG02.spr	FM_RW_006_MG03.spr	FM_RW_006_MG04.spr	FM_RW_006_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_006_RD01.spr	FM_RW_006_HW01.spr	FM_RW_006_HR01.spr	FM_RW_006_HA01.spr	FM_RW_006_HA02.spr	FM_RW_006_HM01.spr	FM_RW_006_HI01.spr	FM_RW_006_HD01.spr	FM_RW_006_RD01.spr	FM_RW_006_RD01.spr
Lo¹i tr­êng th­¬ng 1	FM_RW_007_ST01.spr	FM_RW_007_ST02.spr	FM_RW_000_ST03.spr	FM_RW_007_ST04.spr	FM_RW_007_ST05.spr	FM_RW_007_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_007_WK02.spr	FM_RW_007_WK03.spr	FM_RW_007_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_007_RN02.spr	FM_RW_007_RN03.spr	FM_RW_007_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_007_IJ02.spr	FM_RW_007_IJ03.spr	FM_RW_007_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_007_DE02.spr	FM_RW_007_DE03.spr	FM_RW_007_DE04.spr	FM_RW_000_AT01.spr	FM_RW_007_AT02.spr	FM_RW_007_AT03.spr	FM_RW_007_AT04.spr	FM_RW_007_AT05.spr	FM_RW_007_AT06.spr	FM_RW_007_AT07.spr	FM_RW_007_MG01.spr	FM_RW_000_MG02.spr	FM_RW_007_MG03.spr	FM_RW_007_MG04.spr	FM_RW_007_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_007_RD01.spr	FM_RW_007_HW01.spr	FM_RW_007_HR01.spr	FM_RW_007_HA01.spr	FM_RW_007_HA02.spr	FM_RW_007_HM01.spr	FM_RW_007_HI01.spr	FM_RW_007_HD01.spr	FM_RW_007_RD01.spr	FM_RW_007_RD01.spr
Lo¹i tr­êng th­¬ng 2	FM_RW_008_ST01.spr	FM_RW_008_ST02.spr	FM_RW_000_ST03.spr	FM_RW_008_ST04.spr	FM_RW_008_ST05.spr	FM_RW_008_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_008_WK02.spr	FM_RW_008_WK03.spr	FM_RW_008_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_008_RN02.spr	FM_RW_008_RN03.spr	FM_RW_008_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_008_IJ02.spr	FM_RW_008_IJ03.spr	FM_RW_008_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_008_DE02.spr	FM_RW_008_DE03.spr	FM_RW_008_DE04.spr	FM_RW_000_AT01.spr	FM_RW_008_AT02.spr	FM_RW_008_AT03.spr	FM_RW_008_AT04.spr	FM_RW_008_AT05.spr	FM_RW_008_AT06.spr	FM_RW_008_AT07.spr	FM_RW_008_MG01.spr	FM_RW_000_MG02.spr	FM_RW_008_MG03.spr	FM_RW_008_MG04.spr	FM_RW_008_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_008_RD01.spr	FM_RW_008_HW01.spr	FM_RW_008_HR01.spr	FM_RW_008_HA01.spr	FM_RW_008_HA02.spr	FM_RW_008_HM01.spr	FM_RW_008_HI01.spr	FM_RW_008_HD01.spr	FM_RW_008_RD01.spr	FM_RW_008_RD01.spr
Lo¹i tr­êng th­¬ng 3	FM_RW_009_ST01.spr	FM_RW_009_ST02.spr	FM_RW_000_ST03.spr	FM_RW_009_ST04.spr	FM_RW_009_ST05.spr	FM_RW_009_ST06.spr	FM_RW_000_WK01.spr	FM_RW_000_WK01.spr	FM_RW_009_WK02.spr	FM_RW_009_WK03.spr	FM_RW_009_WK04.spr	FM_RW_000_RN01.spr	FM_RW_000_RN01.spr	FM_RW_009_RN02.spr	FM_RW_009_RN03.spr	FM_RW_009_RN04.spr	FM_RW_000_IJ01.spr	FM_RW_009_IJ02.spr	FM_RW_009_IJ03.spr	FM_RW_009_IJ04.spr	FM_RW_000_DE01.spr	FM_RW_009_DE02.spr	FM_RW_009_DE03.spr	FM_RW_009_DE04.spr	FM_RW_000_AT01.spr	FM_RW_009_AT02.spr	FM_RW_009_AT03.spr	FM_RW_009_AT04.spr	FM_RW_009_AT05.spr	FM_RW_009_AT06.spr	FM_RW_009_AT07.spr	FM_RW_009_MG01.spr	FM_RW_000_MG02.spr	FM_RW_009_MG03.spr	FM_RW_009_MG04.spr	FM_RW_009_MG05.spr	FM_RW_000_ZZ01.spr	FM_RW_000_JP01.spr	FM_RW_009_RD01.spr	FM_RW_009_HW01.spr	FM_RW_009_HR01.spr	FM_RW_009_HA01.spr	FM_RW_009_HA02.spr	FM_RW_009_HM01.spr	FM_RW_009_HI01.spr	FM_RW_009_HD01.spr	FM_RW_009_RD01.spr	FM_RW_009_RD01.spr
