Status	文件名	类型	播放方式	主角身后开始帧	主角身后结束帧	动画总帧数	动画总方向数	动画帧间隔	图分几瓣	说明：图只能分1、2、3瓣
Status1	Special	Head	Loop			8	1	50	1	眩晕
Status2	Special	Foot	Loop			8	1	50	1	中毒
Status3	Special	Body	Loop	0	29	8	1	50	1	冰冻
Status4	Special	Body	Loop	10	20	8	1	50	1	燃烧
Status5	Special	Body				8	1	50	1	混乱
Status6	\spr\skill\五毒教\wdu_06_无形蛊.spr	Foot	Loop	0	0	30	1	18	1	无形蛊
Status7	\spr\skill\五毒教\wdu_07_毒盾.spr	Body	Loop	0	15	20	1	12	1	毒盾
Status8	\spr\skill\五毒教\wdu_08_冰蓝玄晶.spr	Head	Loop	0	0	30	1	18	1	冰蓝玄晶
Status9	\spr\skill\五毒教\wdu_09_雷动九天.spr	Head	Loop	0	0	30	1	18	1	雷动九天
Status10	\spr\skill\五毒教\wdu_10_赤焰蚀天.spr	Head	Loop	0	0	30	1	18	1	赤焰蚀天
Status11	\spr\skill\五毒教\wdu_11_万蛊蚀心.spr	Head	Loop	0	0	30	1	18	1	万蛊蚀心
Status12	\spr\skill\五毒教\wdu_12_移花接玉.spr	Head	Loop	0	0	20	1	12	1	移花接玉
Status13	\spr\skill\昆仑\kl_06_大浪蚀空.spr	Body	Loop	5	15	20	1	12	1	大浪浊空
Status14	\spr\skill\昆仑\kl_07_引雷遁地.spr	Body	Loop	7	22	30	1	18	1	引雷遁地
Status15	\spr\skill\昆仑\kl_08_烈火红尘.spr	Body	Loop	7	22	30	1	18	1	烈火红尘
Status16	\spr\skill\昆仑\kl_09_木珠兵解.spr	Body	Loop	40	40	40	1	16	1	木珠兵解
Status17	\spr\skill\昆仑\kl_10_滑不留手.spr	Body	Loop	4	12	15	1	12	1	滑不留手
Status18	\spr\skill\武当\wd_08_人剑合一.spr	Body	Loop	7	22	30	1	18	1	人剑合一
Status19	\spr\skill\武当\wd_06_坐忘无我.spr	Head	Loop	0	0	36	1	21	1	坐忘无我
Status20	\spr\skill\武当\wd_07_七星阵.spr	Foot	Loop	0	0	30	1	24	1	七星阵
Status21	\spr\skill\天忍\mag_tr_06_火盾.spr	Body	Loop	4	12	15	1	18	1	火盾
Status22	\spr\skill\天忍\mag_tr_07_偷天换日.spr	Head	Loop	0	0	15	1	3	1	偷天换日
Status23	\spr\skill\天忍\mag_tr_08_吸星大法.spr	Head	Loop	0	0	15	1	3	1	吸星大法
Status24	\spr\skill\天忍\mag_tr_09_借力打力.spr	Head	Loop	0	0	15	1	3	1	借力打力
Status25	\spr\skill\天忍\mag_tr_10_蚀骨血仞.spr	Head	Loop	0	0	15	1	30	1	蚀骨血仞
Status26	\spr\skill\天忍\mag_tr_11_幻影飞狐.spr	Head	Loop	0	0	15	1	12	1	幻影飞狐
Status27	\spr\skill\天忍\mag_tr_12_飞鸿无迹.spr	Head	Loop	0	0	15	1	12	1	飞鸿无亦
Status28	\spr\skill\天忍\mag_tr_13_厉魔夺魂.spr	Head	Loop	0	0	15	1	12	1	厉魔夺魂
Status29	\spr\skill\天忍\mag_tr_14_五行阵.spr	Foot	Loop	0	0	15	1	18	1	五行阵
Status30	\spr\skill\天忍\mag_tr_15_天魔解体.spr	Head	Loop	0	0	15	1	15	1	天魔解体
Status31	\spr\skill\翠烟\mag_cy_06_雪盾.spr	Body	Loop	4	12	16	1	18	1	雪盾
Status32	\spr\skill\翠烟\mag_cy_07_冰盾.spr	Body	Loop	4	12	16	1	18	1	冰盾
Status33	\spr\skill\翠烟\mag_cy_09_雪影.spr	Body	Loop	16	16	16	1	15	1	雪影
Status34	\spr\skill\翠烟\mag_cy_12_摄心术.spr	Head	Loop	0	0	18	1	6	1	摄心术
Status35	\spr\skill\唐门\tm_01_毒附加.spr	Head	Loop	0	0	30	1	18	1	毒附加
Status36	\spr\skill\唐门\tm_02_冰附加.spr	Head	Loop	0	0	30	1	18	1	冰附加
Status37	\spr\skill\峨嵋\mag_em_06_秋风叶.spr	Foot	Loop	0	0	16	1	16	1	秋风叶
Status38	\spr\skill\峨嵋\mag_em_07_醉仙望月.spr	Foot	Loop	0	0	16	1	16	1	醉仙望月
Status39	\spr\skill\峨嵋\mag_em_08_流水.spr	Foot	Loop	0	0	16	1	16	1	流水
Status40	\spr\skill\峨嵋\mag_em_09_梦蝶.spr	Foot	Loop	0	0	16	1	16	1	梦蝶
Status41	\spr\skill\峨嵋\mag_em_10_佛心慈佑.spr	Foot	Loop	0	0	15	1	15	1	佛心慈佑
Status42	\spr\skill\峨嵋\mag_em_11_风雨飘香.spr	Head	Loop	0	0	4	1	6	1	风雨飘香
Status43	\spr\skill\丐帮\mag_gb_11_醉蝶狂舞.spr	Body	Loop	4	12	16	1	19	1	醉蝶狂舞
Status44	\spr\skill\丐帮\mag_gb_12_打狗阵.spr	Foot	Loop	0	0	8	1	19	1	打狗阵
Status45	\spr\skill\少林\sl_07_罗汉阵.spr	Foot	Loop	0	0	10	1	8	1	罗汉阵
Status46	\spr\skill\天王\tw_01_火眼金睛.spr	Head	Loop	0	0	10	1	16	1	火眼金睛
Status47	\spr\skill\天王\tw_02_天王战意.spr	Body	Loop	20	20	20	1	40	1	天王战意
Status48	\spr\skill\天王\tw_03_沾衣十八跌.spr	Body	Loop	5	15	20	1	40	1	沾衣十八跌
Status49	\spr\skill\天王\tw_04_金钟罩.spr	Body	Loop	5	15	20	1	20	1	金钟罩
Status50	\spr\skill\补充\mag_spe_眩晕.spr	Head	Loop	0	0	10	1	10	1	眩晕效果
Status51	\spr\skill\补充\幸运星.spr	Foot	Loop	0	0	15	1	15	1	幸运星
Status52	\spr\skill\others\c.spr	Body	Loop	0	0	13	1	12	1	不动明王
Status53	\spr\skill\sl\慧眼咒.spr	Head	Loop	0	0	15	1	15	1	如来千叶
Status54	\spr\skill\wu\化险为夷.spr	Head	Loop	0	0	15	1	15	1	如来千叶
Status55	\spr\skill\em\em_菠萝心经.spr	Body	Loop	0	0	20	1	12	1	清音梵唱
Status56	\spr\skill\em\轻音梵唱.spr	Foot	Loop	0	0	20	1	12	1	3h
Status57	\spr\skill\gb\滑不留手.spr	Body	Loop	0	0	15	1	12	1	滑不留手
Status58	\spr\skill\tr\悲酥清风.spr	Body	Loop	0	0	15	1	12	1	滑不留手
Status59	\spr\skill\gb\打狗阵.spr	Foot	Loop	0	0	18	1	12	1	滑不留手
