talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	落花有意，流水无情，这个意思你明白吗？	我们只是一般关系吧。	忽然觉得哥哥有时也很有型！	哈哈，我摘到了一串野樱桃。	菩萨保佑，我今年一定要找到一个如意郎君。	嘿嘿，最近我的运气真不错，买了一堆便宜的衣服。
2	和你在一起很无聊。	开始觉得你这个人也不是没有优点。	我渐渐喜欢上这样的生活了。	树上有一窝小燕子，真可爱！	我怀疑是不是月老忘记给我牵红线了，怎么总是找不到意中人。	小时候我经常和姐姐来河边钓鱼，似乎是昨天发生的事一样。
3	你见过洪水么，我的几个亲戚就死在一场大洪水中。	不知道你有没有什么理想？	青山，绿水，这样的景色使人心情格外平静。	地里的南瓜熟了，咱们要不要趁人不注意拿一个？	你的手都起泡了，要注意保养一下哦。	我现在觉得很幸福，也很满足。
4	不要和我嘻皮笑脸的！	虽然我不喜欢开玩笑，但你说给我听我也不介意。	我喜欢中午睡一会午觉。	上回咱们坐的马车服务态度真不好，连去个茅厕都不让停。	真想睡个懒觉啊。	刚才一片落叶掉在你头上了。
5	最不喜欢无所事事的男人。	男人要展现他们宽广的胸襟，不要小家子气。	我以前给饭馆当过伙计，还卖过艺，做过小买卖，押过镖。	下回进城，我们到饭馆去吃红烧鱼吧？	我想看烟火，不知道今年七夕会不会放？	我爹爹最疼我了，总是给我买好看的花布做衣服。
6	真正的英雄是不会记一时得失的。	你从来不喝水么？	好想吃一碗牛肉面啊。	在红茶里加些玫瑰茄有安神的作用！	韭菜不煮熟吃容易闹肚子的。	馒头，哈哈我的最爱。
7	小气的男人最没魅力。	男人也需要保养皮肤的。	我的珍珠粉没有了，要到集市上去买些。	哥哥在看哪位美女呢？	啊，我看到黑猫了，不会倒霉吧。	哥哥，什么叫粉丝，常常听到别人说这个词，但似乎不是我吃的那种粉丝。
8	让女人付帐的男人绝不能托付终生。	瞧你晒得那么黑啊！	想吃烤鸡翅膀。	刚才我看到一只狗和猫在打架，狗还打不过猫！	温柔的女孩最招男孩喜欢了，是吧？	我的武功进步了不少，连我自己也感觉到了。
9	我睡觉时候喜欢安静，以后你要注意。	站在山顶眺望远方心情开朗许多。	鹿肉放到火上烧烤味道最不错。	月圆的晚上，能和哥哥把酒颜欢就好了！	刚才那个女孩好象在看哥哥哦，呵呵！	修炼武功的同时，也要经常跑步。
10	真是缺乏情趣的男人，和你一起旅行很没劲。	看，路边的花开得多美丽啊。	我这个人啊，最会过日子了，从来不乱花一文钱。	我喜欢桃红色的手绢。	一直担心我表哥今年是不是能考上秀才，他考了十年了。	我见过一个比哥哥高一倍的人，那大概就是巨人吧。
