problemid	problemcontent	channelA	channelB	channelC
1	下面哪种事是同伴不能做的	帮助玩家打怪	给与玩家任务	帮助怪打玩家
2	什么是同伴	同伴就是一个陪伴你共同闯荡江湖的NPC	同伴是个卖东西的NPC	同伴是一个玩家
3	在游戏中的第一个同伴是如何获得的呢	通过任务获得	在长歌门雇佣	在野外说服
4	你可以跟同伴对话吗	可以	不可以	不清楚
5	同伴的召唤按钮是在哪里	玩家快捷栏	同伴快捷栏	同伴属性栏
6	当你暂时不想让同伴跟着你时该怎么办	点击召唤同伴按钮	点击仅跟随按钮	点击解散同伴按钮
7	如何让同伴去攻击敌人	点选对话按钮	点选仅跟随按钮	点选主动攻击按钮
8	如何让同伴只跟着你	点选仅跟随按钮	点选主动攻击按钮	选择同伴然后在自己身边点左键
9	用来查看同伴的属性界面的按钮是快捷栏上从左数起的第几个	第8个	第5个	第1个
10	用来查看同伴的技能界面的按钮是快捷栏上从右数起的第几个	第9个	第8个	第2个
11	如何给自己的同伴起名字	脑袋里随便想1个，事就这么成了	给官方写信	在同伴属性面板的姓名栏里输入
12	同伴昏迷后要过多长时间才能再次召唤	3分钟	5分钟	10分钟
13	想让同伴回复生命怎么办	给他买药吃	只要让同伴处于非召唤出状态就可以自动回复	对他用辅助技能
14	当同伴生命值降到0时他将会进入	死亡状态	狂乱状态	昏迷状态
15	当一个同伴处于“仅跟随”状态，当有敌人攻击他时他会	反击敌人	使用回复技能	什么都不做只是跟随玩家
16	当一个同伴处于“攻击”状态，当附近有敌人时他会	根据同伴性格的不同会有不同的反应	冲上去攻击敌人	什么都不做
17	一旦你解散了一个同伴后你能找回他吗	能	不能	只要去长歌门就能找回
18	解散同伴按钮是在	同伴快捷栏里	玩家快捷栏里	同伴属性面板里
19	同伴快捷栏可以拖动吗	能	不能	不清楚
20	用来与同伴对话的按钮是快捷栏上从左数起的第几个	第1个	第4个	第7个
21	当你点击了解散同伴的按钮后	你的同伴就会被解散	你的同伴会被召回	系统会向你确认是否继续操作
22	能让同伴不去攻击敌人的按钮叫什么	仅攻击	仅跟随	不攻击
23	以下哪个按钮是同伴快捷栏上没有	召唤同伴	解散同伴	主动攻击
24	当同伴结束昏迷状态后，他的生命值为原来的	10%	50%	100%
25	当同伴处于“仅跟随”状态时，要点什么按钮才能让同伴去攻击敌人	主动攻击	解散同伴	召唤同伴
26	在系统询问你“你确定要解散这个同伴？”的时候你选“是”，这意味着	你要召回你的同伴	你永远的抛弃了这个同伴	你帮这个同伴升级
27	解散同伴按钮是用来干什么的呢	暂时收起你的同伴	永久地抛弃这个同伴	让你的同伴攻击
28	以下说法哪个是对的	解散了的同伴可以找回	仅跟随状态的同伴会攻击敌人	你不可以指定同伴去打某个敌人
29	“召唤同伴”按钮除了能把同伴召唤出来外还有什么功能	召回你的同伴	命令你的同伴攻击	解散你的同伴
30	以下哪个是同伴没有的属性	身法	力量	幸运
31	以下哪个是同伴有的属性	人品	幸运	内功
32	力量影响同伴的	闪避	命中	杀伤
33	同伴升级时，属性的提升方法是	分配潜能点	分配资质点	自动提升
34	同伴的移动速度由什么决定	玩家的移动速度	同伴的跑速	玩家的身法
35	杀伤是指	同伴不算技能的攻击值	同伴算上技能的攻击值	同伴算上所有的加成的攻击值
36	以下哪一项属性决定同伴的攻击方式	性格	力量	闪避
37	以下哪一项属性是有资质的	性格	杀伤	跑速
38	同伴五防从上至下的排列顺序为	普防，毒防，冰防，火防，雷防	普防，冰防，雷防，火防，毒防	普防，冰防，火防，毒防，雷防
39	同伴有跑速及幸运属性吗	只有跑速	只有幸运	两者都有
40	以下哪种属性是同伴有而玩家没有的	力量	命中	精力
41	以下哪种属性是玩家有而同伴没有的	性格	内功	命中
42	以下几组属性全都拥有资质的一组是	生命、跑速、幸运	命中、力量、内功	闪避、身法、幸运
43	决定属性成长的快慢的属性是	力量	杀伤	资质
44	同伴资质决定的属性值增量会在以下哪个级别时会发生小变动	20	70	90
45	同伴有最高等级吗	有	没有	用特殊道具可以突破等级上限
46	同伴的最高等级是	80	100	120
47	资质最高是多少	5	8	10
48	同伴能穿装备吗	能	不能	不一定
49	任务可以提升同伴的资质吗	教育任务可以	目前还不可以	修炼任务可以
50	同伴资质决定的属性值增量会发生改变的几个级别是	10级、30级、40级、90级	10级、30级、50级、90级	10级、20级、50级、90级
51	以下关于资质的说法哪个是正确的	两个资质完全相同的同伴升级的时候会出现差别	两个资质完全相同的同伴升级的时候会没有差别	资质只有一个
52	以下哪一项是勇猛型的同伴的特征	生命值降到30%以下逃跑	攻击对手时不考虑自身损伤	攻击血最少的敌人
53	当在勇猛型的同伴的视线范围内有多个敌人，那么他会	攻击血最少的敌人	逃跑	攻击离他最近的敌人
54	哪种类型的同伴会去攻击血最少的敌人	勇猛型	卫主型	流氓型
55	流氓型的同伴会逃跑吗	会	不会	不清楚
56	流氓型的同伴会在血低于多少时逃跑	10%	20%	30%
57	当在卫主型的同伴的视线范围内有敌人，那么他会	帮玩家加血	什么都不做	视主人的状况而定
58	卫主型的同伴会在血低于多少时逃跑	20%	30%	不会逃跑
59	以下哪项是懦弱型同伴的特点	受到攻击会逃跑	会攻击离他最近的对手	会攻击血少的对手
60	懦弱型的同伴会在血低于多少时逃跑	10%	20%	30%
61	不会逃跑的同伴类型有	卫主型、流氓型	勇猛型、卫主型	流氓型、懦弱型
62	并不考虑自身损伤的同伴类型有	勇猛型、卫主型	卫主型、流氓型	流氓型、懦弱型
