TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	VALUE	TASK_DESCRIBE
开始ID（ID占用不连续请空行）	结束ID	任务名称	取值	任务描述
1		同伴教育任务		
2		同伴修练任务		
3		同伴剧情任务[侍郎之死]		开关
4		同伴剧情任务[控蛇人之秘]		
5		同伴剧情任务[珠宝商人]		
6		同伴剧情任务[异族武士]		
7		记录[侍郎之死]地黄草的物品数量	需要取 50 个	
8		记录[侍郎之死]费叶的物品数量	需要取 50 个	
9		记录[侍郎之死]左钥匙的物品数量	需要取 1 个	
10		记录[侍郎之死]染胛骨的物品数量	需要取 1 个	
11		同伴五行抗性技能		记录同伴吃五行抗性技能书的数量
12		记录[侍郎之死]右钥匙的物品数量	需要取 1 个	
13		记录[侍郎之死]的 5 分钟等待时间		
14		同伴剧情任务[隐藏任务]		
				
16		剧情任务控蛇人之秘 - 风之骑任务		
17		剧情任务控蛇人之秘 - 千宝库任务		
18		剧情任务控蛇人之秘 - 山神庙任务		
				
20		剧情任务珠宝商人 - 杀怪计数		
21		剧情任务珠宝商人 - 杀怪计数		
22		剧情任务珠宝商人 - 杀怪计数		
23		剧情任务珠宝商人 - 杀怪计数		
				
25		剧情任务异族武士 - 杀怪计数		
26		剧情任务异族武士 - 杀怪计数		
27		剧情任务异族武士 - 杀怪计数		
28		剧情任务异族武士 - 杀怪计数		
29		剧情任务 - 隐藏任务完成条件记录		
				
30		剧情修炼篇 - 侍郎之死		
31		剧情修炼篇 - 珠宝商人		
32		剧情修炼篇 - 异族武士		
				
33		修炼篇 - 记录[侍郎之死]地黄草的物品数量	需要取 50 个	
34		修炼篇 - 记录[侍郎之死]费叶的物品数量	需要取 50 个	
35		修炼篇 - 记录[侍郎之死]左钥匙的物品数量	需要取 1 个	
36		修炼篇 - 记录[侍郎之死]染胛骨的物品数量	需要取 1 个	
37		修炼篇 - 记录[侍郎之死]右钥匙的物品数量	需要取 1 个	
38		修炼篇 - 记录[侍郎之死]的 5 分钟等待时间		
				
39		修炼篇 - 剧情任务珠宝商人 - 杀怪计数		
40		修炼篇 - 剧情任务珠宝商人 - 杀怪计数		
41		修炼篇 - 剧情任务珠宝商人 - 杀怪计数		
42		修炼篇 - 剧情任务珠宝商人 - 杀怪计数		
				
43		修炼篇 - 剧情任务异族武士 - 杀怪计数		
44		修炼篇 - 剧情任务异族武士 - 杀怪计数		
45		修炼篇 - 剧情任务异族武士 - 杀怪计数		
46		修炼篇 - 剧情任务异族武士 - 杀怪计数		
				
50		侍郎之死剧情篇奖励记录		
		1~8 bit: 第 1~8 步奖励		
				
51		控蛇人之秘剧情篇奖励记录		
		1~5 bit: 第 1~5 步奖励		
				
52		珠宝商人剧情篇奖励记录		
		1~8 bit: 第 1~8 步奖励		
				
53		异族武士剧情篇奖励记录		
		1~4 bit: 第 1~4 步奖励		
				
54		隐藏任务剧情篇奖励记录		
		1~1 bit: 第 1~1 步奖励		
				
55		侍郎之死修炼篇奖励记录		
		1~8 bit: 第 1~8 步奖励		
				
56		珠宝商人修炼篇奖励记录		
		1~8 bit: 第 1~8 步奖励		
				
57		异族武士修炼篇奖励记录		
		1~4 bit: 第 1~4 步奖励		
				
61		记录侍郎之死修炼篇的开始日期		
62		记录珠宝商人修炼篇的开始日期		
63		记录异族武士修炼篇的开始日期		
64		记录侍郎之死修炼篇的完成次数		
65		记录珠宝商人修炼篇的完成次数		
66		记录异族武士修炼篇的完成次数		
				
68		记录隐藏任务玩家的修炼任务完成次数		
				
80		记录玩家鉴定藏宝图时的日期		
81		记录玩家鉴定藏宝图时的当天次数		
