TaskName	TaskType	Genre	Detail	Particular	Level	GoodsFive	Quality	GoodsNum	DelGoods	RecordSeed	Money	KillNpcName	DropRate	TalkNpcName	TalkNpcMap	TaskText
Tªn nhiÖm vô 	Lo¹i h×nh nhiÖm vô 	Tæng lo¹i	Ph©n lo¹i	Lo¹i nhá 	®¼ng cÊp	Ngò Hµnh	M· sè Hoµng Kim	Sè l­îng	cã thÓ xãa  	Log ghi l¹i H¹t ngÉu nhiªn	Gi¸ 	M· sè thèng kª sè l­îng qu¸i bŞ giÕt	Tû lÖ r¬i	Tªn nh©n vËt §èi tho¹i	Khu vùc nh©n vËt §èi tho¹i	Miªu t¶ nhiÖm vô 
NgÉu nhiªn_Thu thËp_Tr­êng MÖnh hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_Tr­êng MÖnh hoµn	thu thËp vËt phÈm 	6	0	1	n	n		2	1							

NgÉu nhiªn_Thu thËp_Gia Bµo hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_Gia Bµo hoµn	thu thËp vËt phÈm 	6	0	2	n	n		2	1							

NgÉu nhiªn_Thu thËp_Cao ThiÓm hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_Cao ThiÓm hoµn	thu thËp vËt phÈm 	6	0	4	n	n		2	1							

NgÉu nhiªn_Thu thËp_Cao Trung hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_Cao Trung hoµn	thu thËp vËt phÈm 	6	0	5	n	n		2	1							

NgÉu nhiªn_Thu thËp_B¨ng Phßng hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_B¨ng Phßng hoµn	thu thËp vËt phÈm 	6	0	7	n	n		2	1							

NgÉu nhiªn_Thu thËp_L«i phßng hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_L«i phßng hoµn	thu thËp vËt phÈm 	6	0	8	n	n		2	1							

NgÉu nhiªn_Thu thËp_Háa phßng hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_Háa phßng hoµn	thu thËp vËt phÈm 	6	0	9	n	n		2	1							

NgÉu nhiªn_Thu thËp_§éc phßng hoµn	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_Thu thËp_§éc phßng hoµn	thu thËp vËt phÈm 	6	0	10	n	n		2	1							


NgÉu nhiªn_Thu thËp_HuyÒn ThiÕt Nguyªn Kho¸ng	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_HuyÒn ThiÕt Nguyªn Kho¸ng	thu thËp vËt phÈm 	6	1	149	n	n		3	1							

NgÉu nhiªn_Thu thËp_Khæng T­íc Nguyªn Th¹ch 	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_Khæng T­íc Nguyªn Th¹ch 	thu thËp vËt phÈm 	6	1	150	n	n		2	1							

NgÉu nhiªn_Thu thËp_MËt Ng©n Nguyªn Kho¸ng	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_MËt Ng©n Nguyªn Kho¸ng	thu thËp vËt phÈm 	6	1	151	n	n		3	1							

NgÉu nhiªn_Thu thËp_Phï Dung Nguyªn Th¹ch 	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_Phï Dung Nguyªn Th¹ch 	thu thËp vËt phÈm 	6	1	152	n	n		2	1							

NgÉu nhiªn_Thu thËp_Chu Sa Nguyªn Kho¸ng	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_Chu Sa Nguyªn Kho¸ng	thu thËp vËt phÈm 	6	1	153	n	n		3	1							

NgÉu nhiªn_Thu thËp_Chung Nhò Nguyªn Th¹ch 	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_Chung Nhò Nguyªn Th¹ch 	thu thËp vËt phÈm 	6	1	154	n	n		2	1							

NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	§èi tho¹i													NhiÕp Thİ TrÇn	T­¬ng D­¬ng	
NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	thu thËp vËt phÈm 	6	1	400	90	0		1	1							

NgÉu nhiªn_Thu thËp__S¸t Thñ Gi¶n cÊp 90 (Méc) 	§èi tho¹i													NhiÕp Thİ TrÇn	T­¬ng D­¬ng	
NgÉu nhiªn_Thu thËp__S¸t Thñ Gi¶n cÊp 90 (Méc) 	thu thËp vËt phÈm 	6	1	400	90	1		1	1							

NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thñy) 	§èi tho¹i													NhiÕp Thİ TrÇn	T­¬ng D­¬ng	
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thñy) 	thu thËp vËt phÈm 	6	1	400	90	2		1	1							

NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Háa) 	§èi tho¹i													NhiÕp Thİ TrÇn	T­¬ng D­¬ng	
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Háa) 	thu thËp vËt phÈm 	6	1	400	90	3		1	1							

NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thæ) 	§èi tho¹i													NhiÕp Thİ TrÇn	T­¬ng D­¬ng	
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thæ) 	thu thËp vËt phÈm 	6	1	400	90	4		1	1							

NgÉu nhiªn_Thu thËp_Ph¸o Hoa	§èi tho¹i													Häc trß thî rÌn	Thµnh §«	
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	thu thËp vËt phÈm 	6	0	11	n	n		5	1							

NgÉu nhiªn_Thu thËp_T©m T©m	§èi tho¹i													NguyÖt H¹ l·o nh©n	Giang T©n Th«n	
NgÉu nhiªn_Thu thËp_T©m T©m	thu thËp vËt phÈm 	6	1	18	n	n		1	1							

NgÉu nhiªn_Thu thËp_Thiªn s¬n  B¶o Lé 	§èi tho¹i													¤ng chñ d­îc ®iÕm	Long M«n trÊn	
NgÉu nhiªn_Thu thËp_Thiªn s¬n  B¶o Lé 	thu thËp vËt phÈm 	6	1	72	n	n		1	1							

NgÉu nhiªn_Thu thËp_B¸ch Qu¶ Lé 	§èi tho¹i													¤ng chñ d­îc ®iÕm	L©m An	
NgÉu nhiªn_Thu thËp_B¸ch Qu¶ Lé 	thu thËp vËt phÈm 	6	1	73	n	n		1	1							

NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	§èi tho¹i													LÔ Quan	BiÖn Kinh	
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	thu thËp vËt phÈm 	6	1	122	n	n		1	1							

NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	§èi tho¹i													LÔ Quan	BiÖn Kinh	
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	thu thËp vËt phÈm 	6	1	124	n	n		1	1							
