TaskName	AwardType	AwardText	Genre	Detail	Particular	Level	GoodsFive	Quality	RandomSeed	GoodsNum	MoneyNum	ExpNum	ReputeNum	AwardTask	SelectEvent	ArrayID	ArrayRate	AilledAward
Tªn nhiÖm vô 	Lo¹i h×nh phÇn th­ëng	tªn phÇn th­ëng	Tæng lo¹i	Ph©n lo¹i	Lo¹i nhá 	®¼ng cÊp	Ngò Hµnh	Trang bŞ Hoµng Kim	H¹t ngÉu nhiªn	Sè l­îng vËt phÈm	TiÒn	kinh nghiÖm 	Danh väng	Tªn nhiÖm vô b¾t ®Çu	Chän ngÉu nhiªn trong sù kiÖn	ID ph©n bè 	tû lÖ ph©n bè 	hÖ thèng phÇn th­ëng
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	vËt phÈm 	Phóc Duyªn Lé (TiÓu) 	6	1	122	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	vËt phÈm 	Phóc Duyªn Lé (Trung) 	6	1	123	1	0			1						1	50	
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	vËt phÈm 	Phóc Duyªn Lé (§¹i) 	6	1	124	1	0			1						1	15	
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	vËt phÈm 	ThÇn bİ kho¸ng th¹ch	6	1	398	1	0			1						1	5	
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	vËt phÈm 	HuyÒn Tinh cÊp 4	6	1	147	4	0			1						1	85	
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	vËt phÈm 	HuyÒn tinh cÊp 5	6	1	147	5	0			1						1	14	
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	vËt phÈm 	HuyÒn Tinh cÊp 6	6	1	147	6	0			1						1	1	
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	vËt phÈm 	HuyÒn Tinh cÊp 4	6	1	147	4	0			1						1	85	
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	vËt phÈm 	HuyÒn tinh cÊp 5	6	1	147	5	0			1						1	14	
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	vËt phÈm 	HuyÒn Tinh cÊp 6	6	1	147	6	0			1						1	1	
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	vËt phÈm 	B¸ch Qu¶ Lé 	6	1	73	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	vËt phÈm 	Thiªn s¬n  B¶o Lé 	6	1	72	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	vËt phÈm 	Tiªn Th¶o Lé 	6	1	71	1	0			1						1	40	
NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	vËt phÈm 	Phóc Duyªn Lé (§¹i) 	6	1	124	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	kinh nghiÖm 	500.000 kinh nghiÖm										500000						

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	95	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	96	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	94	
