TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
Tªn nhiÖm vô 	Thêi gian b¾t ®Çu nhiÖm vô 	Sau khi b¾t ®Çu nhiÖm vô 	TiÕn hµnh nhiÖm vô 	Thêi gian kÕt thóc nhiÖm vô 	Thêi gian ph¸t gi¶i	ThuyÕt minh liªn quan nhiÖm vô 
NgÉu nhiªn_§èi tho¹i_Thóy Yªn Hµ Mé TuyÕt	<dec><pan>Hai ngµy n÷a lµ ®Õn sinh nhËt cña {{Thóy yªn m«n}} “T­êng vi sø gi¶” {{Hµ Mé TuyÕt}}, ta nhiÒu lóc gÆp hiÓm nguy ®­îc c« Êy x¶ th©n cøu gióp, nªn ta lu«n muèn b¸o ®¸p c«ng ¬n nµy, n÷ nh©n vèn yªu thİch c¸i ®Ñp, chi b»ng t×m {{Hoa hång}} tÆng c« ta lµ ®­îc råi?	<pan>{{Thóy Yªn M«n}} n»m ë bªn ngoµi {{§¹i Lı}}, nghe nãi hoa hång ®­îc b¸n t¹i thÇn bİ th­¬ng nh©n ë {{T­¬ng D­¬ng}} - {{LiÔu Êt}}, h·y nhanh chãng ®Õn ®ã.	HiÖp kh¸ch t×m ta <sex>cã chuyÖn g×?	¤i! Sao ng­êi biÕt mai lµ sinh nhËt cña ta? §ãa hoa nµy tuyÖt ®Ñp! Ta xin ch©n thµnh c¶m t¹!	Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp ng­¬i hµnh tÈu giang hå.	
NgÉu nhiªn_§èi tho¹i__ Chñ d­îc ®iÕm (T­¬ng D­¬ng) 	<dec><pan>c¶ n­íc hiÖn dang bŞ bÖnh dŞch. Thuèc trong thµnh ®ang thiÕu trÇm träng. Ng­¬i cã thÓ gióp ta mang 10 Ngò Hoa Ngäc Lé Hoµn nµy cho Chñ D­îc §iÕm T­¬ng D­¬ng kh«ng?		ChËc! Ai còng  tranh nhau mua thuèc!Kh¸ch quan <sex> ch¾c kh«ng ngo¹i lÖ!?	¤i! 10 lä thuèc nµy cã thÓ cøu thªm ®­îc 100 ng­êi!<sex>Xin ®a t¹ hiÖp kh¸ch!	Chñ d­îc ®iÕm:Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_§èi tho¹i_VÖ binh nha m«n	<dec><pan>Nghe nãi tªn ®¹o tÆc M· Tam Gi¸p ®· ®ang nh¾m môc tiªu ®Õn b¶o r­¬ng cña Chu Viªn Ngo¹i t¹i T­¬ng D­¬ng, tªn nµy th­êng n÷ c¶i nam trang ®Ó vµo thµnh, h·y mau chãng b¸o tin ®Õn {{T­¬ng D­¬ng}} - {{VÖ binh nha m«n}} ®Ó hä kŞp chuÈn bŞ ®èi phã.		Hõ! Ch¼ng lÏ bän chóng muèn vuèt r©u hïm ­?	M· Tam Gi¸p nµo d¸m ®Õn ®©y c­íp bãc chø? Ng­¬i yªn t©m, mét con kiÕn còng kh«ng tho¸t khái m¾t ta!	HiÖp kh¸ch <sex>vÊt v¶ qu¸! Ta cã vµi thø kh«ng dïng, xin tÆng cho hiÖp kh¸ch!	
NgÉu nhiªn_§èi tho¹i_Häc trß thî rÌn (Thµnh §«) 	<dec><pan>GÇn ®©y ta nghe ®­îc mét c©u chuyÖn rÊt thó vŞ, {{Thµnh §«}} cã mét {{Häc trß thî rÌn}} v× muèn t¹o ra mét b¶o vËt cã mét kh«ng hai nªn cÇn rÊt nhiÒu ph¸o hoa, ng­¬i cã thÓ gióp h¾n t×m 1 viªn {{Ph¸o hoa}} kh«ng?Ta còng rÊt muèn biÕt h¾n ®ang lµm thø g×.	Ph¸o hoa cã thÓ mua t¹i {{T­¬ng D­¬ng}} - {{ThÇn bİ th­¬ng nh©n LiÔu Êt}}.	LÏ nµo lµm viÖc g× còng e dÌ sî sÖt? LÏ nµo c¶ ®êi ta chØ lµm mét tªn thî rÌn bĞ nhá sao?	Khµ khµ! C¶m ¬n ph¸o hoa cña ng­¬i! §îi ta thu thËp ®ñ vËt liÖu...Bän c­êi nh¹o ta sÏ biÕt thÕ nµo lµ lîi h¹i! 		
NgÉu nhiªn_§èi tho¹i_ T©n NhŞ ThÈm (Thµnh §«) 	<dec><pan>Nghe nãi chång cña T©n NhŞ ThÈm ë Thµnh §« ®ang l©m träng bÖnh,cÇn 3 ¤ §Çu Hoµn ThÇn §¬n ®Ó ch÷a trŞ! Ta nghÜ hä ®ang v« cïng khæ së? H·y mau gióp ®ì hä!		ThËt lµ häa v« ®¬n chİ! Quan phñ ®ßi nép thuÕ ngay lóc c¸i l·o nhµ ta ®ang l©m träng bÖnh! §¹i phu nãi cÇn 3 ¤ ®Çu Hoµn ®Ó ch÷a,nhµ nghÌo nh­ bän ta lÊy tiÒn ®©u ra mµ mua ®­îc thuèc nµy!	V« cïng biÕt ¬n hiÖp kh¸ch! <sex> Nµo ngê trªn thÕ gian cßn ng­êi cã tÊm lßng nh©n ¸i ®Õn thÕ!	¢n ®øc cña hiÖp kh¸ch <sex>kh«ng cã chi ®Òn ®¸p! Cã chót lßng thµnh, mong HiÖp kh¸ch kh«ng chª!	
NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u	<dec><pan>Nghe nãi {{D­¬ng Ch©u}} - {{DŞch tr¹m dŞch quan}} ®ang gÆp r¾c rèi, chóng ta h·y ®Õn ®ã gióp ®ì «ng!					
NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u_01		DŞch quan: LÇn nµy ta h¼n ph¶i ®Çu r¬i, vµi ngµy tr­íc th©n tİn hoµng th­îng {{Th¸i c«ng c«ng}} lóc h¹ giang nam ta ®· nãi sai mét c©u, «ng ta kh«ng nãi g× ®· véi bá ®i, nÕu «ng ta c¨m giËn ta th× ta cã 9 m¹ng sèng còng ®ñ. VŞ <sex> ®¹i hiÖp nµy h¼n kinh nghiÖm giang hå ®· nhiÒu, ch¼ng biÕt cã thÓ gióp ta chuyÖn nµy hay kh«ng?	Hoµng Cung träng ®Şa. §Õn t×m ta v× viÖc g×?	Ng­¬i nãi c¸i g· tiÓu tö ë D­¬ng Ch©u ®ã µ? Yªn t©m! Bæn §¹i nh©n ®¹i l­îng bao dung kh«ng chÊp g× ®©u! B¶o h¾n ®õng lo phiÒn!	Ng­¬i ®­êng xa ®Õn gióp h¾n, qu¶ lµ ng­êi träng nghÜa khİ! Bæn nh©n sÏ th­ëng cho ng­¬i chót quµ!	
NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) 	<dec><pan>Nghe nãi {{D­¬ng Ch©u}} cã mét vŞ c«ng tö tªn {{ThÈm Phong}} ®ang gÆp chuyÖn r¾c rèi, h·y ®Õn ®ã xem cã thÓ gióp ®­îc g× cho cËu Êy kh«ng!					
NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) _01		ThÈm Phong: Th¸ng tr­íc, sau khi ta tõ {{BiÖn Kinh}} trë vÒ, ta kh«ng sao quªn ®­îc mét ng­êi, nµng cã ®«i mµy rÊt ®Ñp, ®«i m«i ®a t×nh, khiÕn ta mét ngµy kh«ng gÆp ch¼ng mµng ®Õn ¨n uèng, th©n x¸c tiÒu tôy. §¹i hiÖp cã thÓ gióp ta truyÒn lêi ®Õn nµng ®­îc kh«ng? Nµng tªn lµ {{Nh­ Ngäc}}, nãi víi nµng r»ng chØ cÇn nµng ®ång ı, ta sÏ tõ bá tÊt c¶ ®Ó cã thÓ ®Õn bªn nµng.	VŞ hiÖp kh¸ch <sex> nµy  cã nh· høng uèng víi ta vµi chung kh«ng?	Sao? Ng­¬i nãi lµ c¸i g· ThÈm Phong ®ã µ? Ha ha! §õng trªu ghÑo bæn n­¬ng chø! Dùa vµo c¸i mí v¨n ch­¬ng rÎ tiÒn ®ã mµ muèn c­íi ®­îc ta sao?	Xem ng­¬i tõ xa ®Õn khiÕn ta vui lßng, còng kh«ng dÔ g×! Ta chót quµ män tÆng cho ng­¬i!	
