key	value
G_CONFIRM_WORD	X¸c nhËn
G_STR_YES	Muèn
G_STR_CANCEL	Hñy bá 
G_NO_WORD	V« hÖ 
G_ACCEPT_WORD	§ång ý 
G_REFUSE_WORD	Cù tuyÖt 
G_LOOKOVER_WORD	Tra xem
G_IGNORE_WORD	Xem nhÑ 
G_GOTO_WORD	§Þnh vÞ 
G_DONT_GO	Kh«ng ®i

G_MSG_EXCHANGE_FAIL	§­êng ®i phÝa tr­íc kh«ng ®­îc th«ng, hay lµ lÇn sau trë l¹i vËy

G_BLACKLIST_UNITNAME	Sæ ®en
G_GSCHANGEDNOTIFY_0	Xin ®iÒn nhËp tªn cña ®èi ph­¬ng
G_GSCHANGEDNOTIFY_1	%s bÞ ghi vµo Sæ ®en. 
G_GSCHANGEDNOTIFY_2	Xin thø lçi! TÇn sè vÉn ch­a më réng, ch­a thÓ chuyÓn tin tøc! 
G_GSCHANGEDNOTIFY_3	%s hiÖn kh«ng cã trªn m¹ng, lÇn sau lªn m¹ng anh Êy (/ c« Êy ) míi nhËn ®­îc tin tøc B¹n võa ph¸t ra.
G_GSCHANGEDNOTIFY_4	 Xin th«ng c¶m, %s kh«ng ë trong VLTK, tin tøc kh«ng thÓ chuyÓn ®Õn!
G_GSCHANGEDNOTIFY_5	ChuyÓn ph¸t vµo %d th¸ng %d ngµy %d:%02d:
G_GSCHANGEDNOTIFY_6	TÇn sè GM, xin ®iÒn nhËp néi dung tin tøc \" [gm]\"

G_SHORTCUTKEY_0	Hñy bá tin tøc chuyÓn ph¸t lóc offline.
G_SHORTCUTKEY_1	ThiÕt ®Þnh chuyÓn tin tøc ngo¹i tuyÕn cho %s!
G_SHORTCUTKEY_2	ThiÕt ®Þnh chuyÓn tin tøc cho %s! \n ®iÒn nhËp /OfflineTrans cã thÓ hñy bá thiÕt ®Þnh.
G_SHORTCUTKEY_3	Trß ch¬i  d¹ng 2D. Xin khëi ®éng l¹i trß ch¬i!
G_SHORTCUTKEY_4	Trß ch¬i  d¹ng 2D. Xin khëi ®éng l¹i trß ch¬i!
G_SHORTCUTKEY_5	Trß ch¬i thay ®æi thµnh vËn hµnh tßan mµn h×nh, lÇn khëi ®éng sau sÏ cã hiÖu lùc. 
G_SHORTCUTKEY_6	Trß ch¬i thay ®æi thµnh vËn hµnh trong cöa sæ, lÇn khëi ®éng sau sÏ cã hiÖu lùc. 

G_CHATPHRASE_0	Ng­êi nµy ®· rêi m¹ng, kh«ng thÓ chuyÓn ph¸t
G_CHATPHRASE_1	Trong lóc luyÖn c«ng, xin ®õng lµm phiÒn
